,name,href,identity,intelligence,strength,speed,durability,power,combat,powers,universe,full name,place of birth,first appearance,alignment,gender,height,weight,eye color,hair color
0,Leeloo,/leeloo/10-25894/,Leluminaï Lekatariba Lamina-Tchaï Ekbat De Sebat,0,0,0,0,0,0,,Fifth Element - The Fifth Element Universe,,,The Fifth Element (1997),Good,Female,"173 cm • 5'8.1""",64 kg • 141.1 lbs,Blue,Orange
1,Leeonard McKenzie,/leeonard-mckenzie/10-27137/,,0,0,0,0,0,0,,Earth-616 - Prime Marvel Universe,,,,,,-,-,,
2,Leeron Littner,/leeron-littner/10-32305/,,0,0,0,0,0,0,,Gurren Lagann - Tengen Toppa Gurren Lagann Universe,,,,,,-,-,,
3,Legacy,/legacy/10-28448/,Anna-Marie Darkholme,0,0,0,0,0,0,,Earth-11326 - Marvel's Age Of X,,,,,,-,-,,
4,Legacy,/legacy/10-45638/,Paul Parsons VIII,65,95,50,55,75,60,"['Acid Resistants', 'Agility', 'Attack Negation', 'Cold Resistance', 'Damage Reduction', 'Danger Sense', 'Electricity Resistance', 'Endurance', 'Enhanced Condition', 'Enhanced Sight', 'Fire Resistance', 'Flight', 'Heat Resistance', 'Indomitable Will', 'Invulnerability', 'Jump', 'Reflexes', 'Toxin and Disease Resistance', 'Vision - Telescopic', 'Accelerated Healing', 'Dexterity', 'Disarmament', 'Disguise Resistance', 'Energy Resistance', 'Gadget Usage', 'Hope Inducement', 'Instinctive Reaction', 'Levitation', 'Longevity', 'Master Tactician', 'Preparation', 'Radiation Immunity', 'Self-Sustenance', 'Damage Boost', 'Mind Control Resistance', 'Reactive Power Level', 'Statistics Amplification', 'Telepathy Resistance']",SotM - Sentinels of the Multiverse,,,Sentinels of the Multiverse (2012),Good,Male,"188 cm • 6'2""",-,Blue,Brown
5,Legacy (WW2),/legacy-ww2/10-48078/,Paul Parsons VII,65,75,30,25,60,75,"['Agility', 'Attack Negation', 'Damage Reduction', 'Danger Sense', 'Enhanced Condition', 'Enhanced Sight', 'Flight', 'Indomitable Will', 'Jump', 'Master Tactician', 'Reflexes', 'Toxin and Disease Resistance', 'Vision - Telescopic', 'Accelerated Healing', 'Disarmament', 'Endurance', 'Gadget Usage', 'Instinctive Reaction', 'Levitation', 'Longevity', 'Marksmanship', 'Preparation', 'Stealth', 'Damage Boost', 'Reactive Power Level', 'Statistics Amplification', 'Weapon-based Powers']",SotM - Sentinels of the Multiverse,,,Shattered Timelines Expansion (2013),Good,Male,-,-,Blue,Brown
6,Legate Cassia,/legate-cassia/10-44079/,,0,0,0,0,0,0,,TES - The Elder Scrolls Verse,,,,,,-,-,,
7,Legate Rikke,/legate-rikke/10-44080/,,0,0,0,0,0,0,,TES - The Elder Scrolls Verse,,,,,,-,-,,
8,Legato Bluesummers,/legato-bluesummers/10-24785/,Legato Bluesummers,60,1,55,45,80,75,"['Peak Human Condition', 'Super Speed', 'Body Puppetry', 'Extrasensory Perception', 'Heat Resistance', 'Information Analysis', 'Metal Manipulation', 'Mind Control', 'Mind Control Resistance', 'Pain Manipulation', 'Paralysis', 'Precognition', 'Supernatural Condition', 'Telekinesis', 'Telepathy', 'Telepathy Resistance', 'Toxin and Disease Resistance', 'Void Manipulation']",Trigun,,,,,,-,-,,
9,Legato Improvvisazione,/legato-improvvisazione/10-35815/,,0,0,0,0,0,0,,Goblin Slayer,,,,,,-,-,,
10,Legba (Eternal),/legba-eternal/10-40587/,Legba,0,0,0,0,0,0,,Earth-616 - Prime Marvel Universe,,,,,,-,-,,
11,Legend,/legend/10-32319/,Goran,0,0,0,0,0,0,,Prime Earth - Prime DC Comics Universe,,,,,,-,-,,
12,Legend,/legend/10-38271/,,0,0,0,0,0,0,,JBU - Jack Blank Universe,,,,,,-,-,,
13,Legendary Megazord,/legendary-megazord/10-27983/,,0,0,0,0,0,0,,,,,,,,-,-,,
14,Legiana,/legiana/10-48293/,,0,0,0,0,0,0,,MH - Monster Hunter,,,,,,-,-,,
