,name,href,identity,intelligence,strength,speed,durability,power,combat,powers,universe,full name,place of birth,first appearance,alignment,gender,height,weight,eye color,hair color
0,Jessica,/jessica/10-35990/,,0,0,0,0,0,0,,TPN - The Promised Neverland,,,,,,-,-,,
1,Jessica Jones,/jessica-jones/10-10403/,Jessica Campbell Jones Cage,65,25,25,20,40,55,"['Durability', 'Reflexes', 'Stamina', 'Super Speed', 'Super Strength', 'Accelerated Healing', 'Agility', 'Flight', 'Information Analysis', 'Longevity', 'Marksmanship', 'Mind Control Resistance', 'Stealth', 'Telepathy Resistance', 'Invulnerability', 'Master Martial Artist', 'Master Tactician']",Earth-616 - Prime Marvel Universe,Jessica Campbell Jones Cage,"Forrest Hills, New York City","Amazing Spider-Man #4 (September, 1963)",Good,Female,"170.2 cm • 5'7""",56.2 kg • 123.9 lbs,Brown,Brown
2,Jessica Jones,/jessica-jones/10-15089/,Jessica Jones,60,25,13,15,20,60,"['Stamina', 'Agility', 'Dexterity', 'Endurance', 'Heat Resistance', 'Information Analysis', 'Jump', 'Master Martial Artist', 'Mind Control Resistance', 'Reflexes', 'Accelerated Healing', 'Regeneration']",MCU - Marvel Cinematic Universe,Jessica Campbell Jones,,Jessica Jones,Neutral,Female,-,-,Brown,Black
3,Jessica Jones,/jessica-jones/10-46859/,,0,0,0,0,0,0,,Earth-1610 - Ultimate Marvel Universe,,,,,,-,-,,
4,Jessica Li,/jessica-li/10-48763/,,0,0,0,0,0,0,,Dead Space,,,,,,-,-,,
5,Jessica Miller,/jessica-miller/10-37616/,,0,0,0,0,0,0,,NFS - Need For Speed,,,,,,-,-,,
6,Jessica Priest,/jessica-priest/10-1080/,Jessica Priest,0,0,0,0,0,0,,,Jessica Priest,,,Bad,Female,-,-,,
7,Jessica Sanders,/jessica-sanders/10-1029/,Niki Sanders,0,0,0,0,0,0,,Heroes - Heroes,,,,Bad,Female,-,-,-,-
8,Jessica Sherawat,/jessica-sherawat/10-22688/,,0,0,0,0,0,0,,Resident Evil - Resident Evil Game & Movie universe,,,,,,-,-,,
9,Jessie,/jessie/10-46380/,,0,0,0,0,0,0,,Toy Story,,,,,,-,-,,
10,Jessie Anderson,/jessie-anderson/10-34435/,,0,0,0,0,0,0,,TWD - The Walking Dead Series (2010-2021),,,,,,-,-,,
11,Jester,/jester/10-20177/,Jonathan Powers,0,0,0,0,0,0,,Earth-616 - Prime Marvel Universe,,,,,,-,-,,
12,Jester,/jester/10-20284/,Jonathan Powers,0,0,0,0,0,0,,Earth-616 - Prime Marvel Universe,,,,,,-,-,,
13,Jestro,/jestro/10-16049/,Jestro,0,0,0,0,0,0,,,Jestro,Nexo Knights,Nexo knights season 1 episode 1,,Male,"157.5 cm • 5'2""",79.8 kg • 175.93 lbs,Black,Black
14,Jet,/jet/10-44173/,Celia Windward,0,0,0,0,0,0,,Prime Earth - Prime DC Comics Universe,,,,,,-,-,,
15,Jet,/jet/10-47038/,,55,5,20,10,10,95,"['Acrobatics', 'Agility', 'Dexterity', 'Durability', 'Marksmanship', 'Master Martial Artist', 'Peak Human Condition', 'Stamina', 'Stealth', 'Super Speed', 'Super Strength', 'Swordsmanship', 'Weapons Master', 'Endurance', 'Jump', 'Master Tactician', 'Reflexes']",Avatar - Avatar: The Last Airbender(2005-2008) and The Legend of Korra(2012-2014),,,Avatar: The Last Airbender Episode 10,Good,Male,-,-,Black,Brown
16,Jet,/jet/10-47039/,,85,25,25,30,40,65,"['Durability', 'Endurance', 'Intelligence', 'Stamina', 'Statistics Amplification', 'Super Speed', 'Super Strength', 'Accelerated Healing', 'Acrobatics', 'Agility', 'Bullet Time', 'Chemokinesis', 'Cold Resistance', 'Dexterity', 'Fire Resistance', 'Heat Resistance', 'Latent Abilities', 'Longevity', 'Marksmanship', 'Reflexes', 'Statistics Reduction', 'Status Effect Inducement', 'Toxin and Disease Control', 'Vitakinesis', 'Weapon-based Powers', 'Regeneration']",Hero Wars Verse - Hero Wars Verse,,,,Good,-,-,-,Orange,Orange
17,Jet Bean,/jet-bean/10-49788/,,60,25,50,10,30,100,"['Agility', 'Intelligence', 'Master Martial Artist', 'Peak Human Condition', 'Reflexes', 'Super Speed', 'Super Strength', 'Attack Reflection', 'Enhanced Condition', 'Instinctive Reaction', 'Marksmanship', 'Photographic Reflexes', 'Pressure Points']",,,,Killer Bean Forever,Bad,Male,-,-,Brown,Black
18,Jet Black,/jet-black/10-41519/,,0,0,0,0,0,0,,Cowboy Bebop,,,,,,-,-,,
