,name,href,identity,intelligence,strength,speed,durability,power,combat,powers,universe,full name,place of birth,first appearance,alignment,gender,height,weight,eye color,hair color
0,Death Seed Banshee,/death-seed-banshee/10-17833/,Sean Cassidy,0,0,0,0,0,0,,Earth-13133 - Planet X,,,,-,-,-,-,-,-
1,Death Seed Daken,/death-seed-daken/10-17832/,Akihiro,0,0,0,0,0,0,,Earth-13133 - Planet X,Akihiro,New York,Wolverine: Origins #10,Bad,Male,"175.3 cm • 5'9""",75.8 kg • 167.11 lbs,Blue,Black
2,Death Seed Gambit,/death-seed-gambit/10-17831/,Remy Etienne LeBeau,0,0,0,0,0,0,,Earth-616 - Prime Marvel Universe,,,,,,-,-,,
3,Death Seed Grim Reaper,/death-seed-grim-reaper/10-17830/,Eric Williams,0,0,0,0,0,0,,Earth-13133 - Planet X,,,,-,-,-,-,-,-
4,Death Seed Iceman,/death-seed-iceman/10-15348/,Bobby Drake,70,75,50,80,100,60,"['Accelerated Healing', 'Adaptation', 'Agility', 'Cloning', 'Cold Resistance', 'Cryokinesis', 'Duplication', 'Durability', 'Element Control', 'Elemental Transmogrification', 'Energy Armor', 'Energy Manipulation', 'Fire Resistance', 'Force Fields', 'Heat Resistance', 'Immortality', 'Invulnerability', 'Psionic Powers', 'Reflexes', 'Regeneration', 'Size Changing', 'Stamina', 'Weather Control', 'Hellfire Resistance', 'Levitation', 'Marksmanship', 'Master Tactician', 'Natural Armor', 'Shapeshifting', 'Super Breath', 'Underwater breathing', 'Vision - Thermal']",Earth-13133 - Planet X,,,,-,-,-,-,-,-
5,Death Seed Sentry,/death-seed-sentry/10-11266/,Robert Reynolds,85,100,100,100,100,90,"['Accelerated Development', 'Accelerated Healing', 'Berserk Mode', 'Cold Resistance', 'Corruption Resistance', 'Durability', 'Electricity Absorption', 'Electricity Resistance', 'Element Control', 'Endurance', 'Energy Absorption', 'Energy Beams', 'Energy Blasts', 'Energy Manipulation', 'Energy Resistance', 'Enhanced Condition', 'Enhanced Hearing', 'Enhanced Memory', 'Enhanced Sight', 'Fire Control', 'Fire Resistance', 'Flight', 'Force Ghost', 'Godly Physiology', 'Immortality', 'Intangibility', 'Intelligence', 'Interstellar Travel', 'Invisibility', 'Invulnerability', 'Levitation', 'Life Manipulation', 'Longevity', 'Madness Manipulation', 'Matter Absorption', 'Matter Manipulation', 'Memory Manipulation', 'Mind Control', 'Mind Control Resistance', 'Molecular Combustion', 'Molecular Dissipation', 'Molecular Immobilization', 'Molecular Manipulation', 'Molecular Oscillation', 'Possession', 'Possession Resistance', 'Power Absorption Immunity', 'Power Mimicry Immunity', 'Psionic Powers', 'Rage Power', 'Reality Warping', 'Reality Warping Resistance', 'Regeneration', 'Resurrection', 'Space Survivability', 'Spaceflight', 'Spatial Awareness', 'Stamina', 'Super Speed', 'Super Strength', 'Telekinesis', 'Telepathy', 'Telepathy Resistance', 'Teleportation', 'Vision - Heat', 'Vision - Microscopic', 'Vision - Night', 'Vision - Telescopic', 'Ability Shift', 'Acrobatics', 'Animation', 'Anti-Gravity', 'Astral Projection', 'Attack Negation', 'Attack Reflection', 'Audio Control', 'Awakened Power', 'Biokinesis', 'Black Hole Manipulation', 'Body Puppetry', 'Bone Manipulation', 'Changing Armor', 'Cloning', 'Corruption', 'Curse Resistance', 'Damage Boost', 'Danger Sense', 'Dimensional Awareness', 'Dimensional Travel', 'Duplication', 'Durability Negation', 'Electro-Magnetism Manipulation', 'Electrokinesis', 'Emotional Power Up', 'EMP Generation', 'Enhanced Smell', 'Enhanced Touch', 'Existence Erasure Resistance', 'Fate Resistance', 'Gravity Control', 'Illusion Resistance', 'Immortality Negation', 'Insanity', 'Latent Abilities', 'Light Control', 'Magic Resistance', 'Marksmanship', 'Melting', 'Metal Manipulation', 'Mind Blast', 'Mind Transfer', 'Morality Manipulation', 'Natural Armor', 'Necromancy', 'Non-Physical Interaction', 'Organic Manipulation', 'Pain Manipulation', 'Phasing', 'Physics Manipulation', 'Portal Creation', 'Power Absorption', 'Power Bestowal', 'Power Sense', 'Power Suit', 'Radiation Absorption', 'Radiation Control', 'Radiation Immunity', 'Self-Destruction', 'Self-Sustenance', 'Sense Manipulation', 'Shapeshifting', 'Shockwaves Generation', 'Size Changing', 'Sonar', 'Soul Resistance', 'Spatial Communication', 'Stands', 'Stealth', 'Summoning', 'Super Breath', 'Toxin and Disease Resistance', 'Transformation', 'Vibration Manipulation', 'Vision - Cryo', 'Vision - Infrared', 'Vision - Thermal', 'Vision - X-Ray', 'Vitakinesis', 'Vortex Creation', 'Water Control', 'Weapon Summoning', 'Weather Control', 'Will Of God', 'Wind Control', 'Creation', 'Death Manipulation', 'Existence Erasure', 'Soul Manipulation', 'Time Manipulation Resistance']",Earth-13133 - Planet X,,,,Bad,Male,-,-,Red,White
6,Death Stick,/death-stick/10-32709/,,0,0,0,0,0,0,,Star Wars - Star Wars Universe,,,,,,-,-,,
7,Death Trooper,/death-trooper/10-25738/,,0,0,0,0,0,0,,Star Wars - Star Wars Universe,,,,,,-,-,,
8,Death Wreck,/death-wreck/10-42729/,,0,0,0,0,0,0,,Earth-616 - Prime Marvel Universe,,,,,,-,-,,
9,Death's Head,/deaths-head/10-34900/,Death's Head,0,0,0,0,0,0,,Earth-616 - Prime Marvel Universe,,,,,,-,-,,
10,Death's Head II,/deaths-head-ii/10-41850/,Minion,0,0,0,0,0,0,,Earth-811 - Days of Future Past,,,,,,-,-,,
11,Death-Stalker,/death-stalker/10-43083/,,0,0,0,0,0,0,,Earth-616 - Prime Marvel Universe,,,,,,-,-,,
12,Death?s Head II,/deaths-head-ii/10-42712/,Antibody,0,0,0,0,0,0,,Earth-616 - Prime Marvel Universe,,,,,,-,-,,
13,Deathbird,/deathbird/10-15107/,Cal'syee Neramani,0,0,0,0,0,0,,Earth-616 - Prime Marvel Universe,,,,,,-,-,,
14,Deathblow,/deathblow/10-22891/,Michael Patrick Cray,0,0,0,0,0,0,,,,,,,,-,-,,
15,Deathblow,/deathblow/10-41601/,Collins,0,0,0,0,0,0,,Earth-50 - Wildstorm Universe,,,,,,-,-,,
