,name,href,identity,intelligence,strength,speed,durability,power,combat,powers,universe,full name,place of birth,first appearance,alignment,gender,height,weight,eye color,hair color
0,Despotellis,/despotellis/10-20498/,,0,0,0,0,0,0,,Prime Earth - Prime DC Comics Universe,,,,,,-,-,,
1,Dessy,/dessy/10-23085/,,0,0,0,0,0,0,,,,,,,,-,-,,
2,Destiny,/destiny/10-1456/,Irene Adler,0,0,0,0,0,0,,Earth-616 - Prime Marvel Universe,,,,Bad,Female,-,-,,
3,Destiny Of The Endless,/destiny-of-the-endless/10-11191/,Destiny,100,100,100,100,100,100,"['Nigh-Omnipotence', 'Nigh-Omniscience', 'Omnipresence']",Vertigo - Vertigo Universe,,,Weird Mystery Tales #1 - Horoscope Phenomenon/The Brothers Beaumont,,,-,-,,
4,Destoroyah (Heisei),/destoroyah-heisei/10-11337/,Destoroyah,40,75,25,45,70,40,"['Animal Attributes', 'Electricity Resistance', 'Endurance', 'Energy Beams', 'Energy Blasts', 'Energy Resistance', 'Flight', 'Instinctive Reaction', 'Jaw Strength', 'Large Size', 'Longevity', 'Natural Armor', 'Natural Weapons', 'Radiation Immunity', 'Toxin and Disease Resistance', 'Vaporising Beams', 'Accelerated Development', 'Adaptation', 'Amphibious Respiration', 'Duplication', 'Energy Absorption', 'Energy Constructs', 'Fire Resistance', 'Gliding', 'Homing Attack', 'Invulnerability', 'Melting', 'Multiple Limbs', 'Radiation Absorption', 'Rage Power', 'Self-Sustenance', 'Separation', 'Size Changing', 'Summoning', 'Transformation', 'Underwater breathing', 'Accelerated Healing', 'Cold Resistance', 'Durability Negation', 'Elasticity', 'Heat Resistance', 'Power Nullifier']",Toho - Toho Expanded Universe,,,Godzilla vs Destoroyah (1995),Bad,Other,"120 m • 393'8.4""","80,000 ton • 176,369,809.6 lbs",Yellow,None
5,Destra,/destra/10-37228/,Summer Swan,0,0,0,0,0,0,,Earth-50 - Wildstorm Universe,,,,,,-,-,,
6,Destrakon Gear,/destrakon-gear/10-27719/,,0,0,0,0,0,0,,Bakugan,,,,,,-,-,,
7,Destrakon Gear,/destrakon-gear/10-27721/,,0,0,0,0,0,0,,Bakugan,,,,,,-,-,,
8,Destro,/destro/10-18253/,James McCullen XXIV,0,0,0,0,0,0,,G.I. Joe - G.I. Joe,,,,,,-,-,,
9,Destro,/destro/10-43852/,Laird James McCullen XXIV,0,0,0,0,0,0,,G.I Joe Film - G.I Joe Film,,,,,,-,-,,
10,Destroyer,/destroyer/10-1294/,,50,100,100,100,100,100,"['Accelerated Development', 'Antimatter Manipulation', 'Berserk Mode', 'Blessed', 'Cold Resistance', 'Darkforce Manipulation', 'Deconstruction', 'Density Control', 'Electricity Resistance', 'Energy Armor', 'Energy Beams', 'Energy Blasts', 'Energy Constructs', 'Energy Embodiment', 'Energy Manipulation', 'Energy Resistance', 'Flight', 'Heat Generation', 'Heat Resistance', 'Large Size', 'Laser Manipulation', 'Magnetism', 'Matter Manipulation', 'Non-Physical Interaction', 'Possession', 'Radiation Absorption', 'Radiation Control', 'Radiation Immunity', 'Size Changing', 'Spaceflight', 'Super Speed', 'Super Strength', 'Time Manipulation Resistance', 'Toxin and Disease Resistance', 'Vaporising Beams', 'Weapons Master', 'Will Of God', 'Accelerated Healing', 'Astral Projection', 'Banish', 'Cosmic Awareness', 'Damage Boost', 'Danger Sense', 'Dimensional Travel', 'Durability Negation', 'Element Control', 'Fire Control', 'Fire Resistance', 'Higher Dimensional Manipulation', 'Invulnerability', 'Jump', 'Matter Absorption', 'Molecular Combustion', 'Molecular Dissipation', 'Molecular Manipulation', 'Organic Manipulation', 'Petrification', 'Possession Resistance', 'Regeneration', 'Sealing']",Earth-616 - Prime Marvel Universe,,Asgard,Journey into Mystery #118 (1965),Bad,Male,"289.6 cm • 9'6""",385.6 kg • 850.1 lbs,Red,No Hair
11,Destroyer,/destroyer/10-13071/,,60,35,20,35,60,70,"['Cold Resistance', 'Durability', 'Endurance', 'Stamina', 'Super Speed', 'Super Strength', 'Toxin and Disease Resistance', 'Agility', 'Electricity Resistance', 'Energy Beams', 'Energy Blasts', 'Energy Resistance', 'Fire Resistance', 'Heat Generation', 'Heat Resistance', 'Jump', 'Marksmanship', 'Natural Armor', 'Natural Weapons', 'Radiation Immunity', 'Reflexes', 'Self-Sustenance', 'Stealth', 'Vision - Heat', 'Weapon-based Powers', 'Changing Armor', 'Dexterity', 'Invulnerability', 'Shapeshifting']",MCU - Marvel Cinematic Universe,,,Thor (2011),,,-,-,,
12,Destroyer,/destroyer/10-21889/,Kevin Keen Marlow,0,0,0,0,0,0,,,,,,,,-,-,,
13,Destroyer,/destroyer/10-46849/,,0,0,0,0,0,0,,Earth-8096 - The Avengers: Earth's Mightiest Heroes (2010-1013 TV Series),,,,,,-,-,,
14,Destroyer (Possessed by Thor),/destroyer-possessed-by-thor/10-28146/,Thor Odinson,95,100,100,100,100,100,"['Accelerated Development', 'Accelerated Healing', 'Agility', 'Antimatter Manipulation', 'Astral Projection', 'Awakened Power', 'Banish', 'Berserk Mode', 'Blessed', 'Bullet Time', 'Clairvoyance', 'Cold Resistance', 'Damage Boost', 'Danger Sense', 'Darkforce Manipulation', 'Deconstruction', 'Density Control', 'Dexterity', 'Dimensional Travel', 'Durability', 'Electrical Transport', 'Electricity Absorption', 'Electricity Resistance', 'Electro-Magnetism Manipulation', 'Electrokinesis', 'Element Control', 'Elemental Transmogrification', 'Endurance', 'Energy Absorption', 'Energy Armor', 'Energy Beams', 'Energy Blasts', 'Energy Constructs', 'Energy Embodiment', 'Energy Manipulation', 'Energy Resistance', 'Enhanced Condition', 'Enhanced Sight', 'Existence Erasure', 'Existence Erasure Resistance', 'Fate Resistance', 'Fire Resistance', 'Flight', 'Food Manipulation', 'Fusion', 'Godly Physiology', 'Heat Generation', 'Heat Resistance', 'Hellfire Resistance', 'Higher Dimensional Manipulation', 'Illumination', 'Immortality', 'Indomitable Will', 'Instinctive Reaction', 'Interstellar Travel', 'Invisibility', 'Invulnerability', 'Jump', 'Large Size', 'Laser Manipulation', 'Latent Abilities', 'Levitation', 'Life Manipulation', 'Longevity', 'Magic', 'Magic Resistance', 'Magnetism', 'Marksmanship', 'Master Martial Artist', 'Matter Absorption', 'Matter Manipulation', 'Mind Control Resistance', 'Molecular Manipulation', 'Non-Physical Interaction', 'Odin Force', 'Portal Creation', 'Possession', 'Possession Resistance', 'Power Absorption', 'Power Bestowal', 'Power Nullifier', 'Power Sense', 'Precognition', 'Radiation Absorption', 'Radiation Control', 'Radiation Immunity', 'Reality Warping', 'Reflexes', 'Regeneration', 'Seismic Power', 'Self-Sustenance', 'Shockwaves Generation', 'Size Changing', 'Soul Resistance', 'Spaceflight', 'Stamina', 'Subjective Reality', 'Summoning', 'Super Speed', 'Super Strength', 'Telepathy Resistance', 'Time Manipulation', 'Time Manipulation Resistance', 'Time Travel', 'Toxin and Disease Resistance', 'Vaporising Beams', 'Vision - Night', 'Vision - Telescopic', 'Vision - Thermal', 'Vortex Creation', 'Weapon Summoning', 'Weapon-based Powers', 'Weapons Master', 'Weather Control', 'Will Of God', 'Wind Control', 'Acrobatics', 'Animal Control', 'Attack Negation', 'Attack Reflection', 'Biokinesis', 'Corruption Resistance', 'Cosmic Awareness', 'Creation', 'Curse Manipulation', 'Curse Resistance', 'Dimensional Awareness', 'Durability Negation', 'Fire Control', 'Gravity Control', 'Illusion Resistance', 'Light Control', 'Master Tactician', 'Molecular Combustion', 'Molecular Dissipation', 'Omnilingualism', 'Organic Manipulation', 'Petrification', 'Pocket Dimensions', 'Power Augmentation', 'Psionic Powers', 'Psychometry', 'Purification', 'Rage Power', 'Reality Warping Resistance', 'Regeneration Negation', 'Resurrection', 'Sealing', 'Sense Manipulation', 'Shapeshifting', 'Soul Manipulation', 'Spatial Awareness', 'Stealth', 'Telekinesis', 'Telepathy', 'Teleportation', 'Terrakinesis', 'Transformation', 'Underwater breathing', 'Vitakinesis', 'Water Control', 'Acausality', 'Adaptation', 'Age Manipulation', 'Animation', 'Anti-Gravity', 'Aura', 'Projection', 'Toxin and Disease Control']",Earth-616 - Prime Marvel Universe,,,,Good,Male,"289.5 cm • 9'6""",385.6 kg • 850.1 lbs,-,-
15,Destroyer (Godheads Council),/destroyer-godheads-council/10-15047/,,0,0,0,0,0,0,,,,,,,,-,-,,
16,Destroyer Darkmass,/destroyer-darkmass/10-31672/,,0,0,0,0,0,0,,Earth-616 - Prime Marvel Universe,,,,,,-,-,,
17,Destroyer Droids,/destroyer-droids/10-45409/,Droideka,0,0,0,0,0,0,,Star Wars - Star Wars Universe,,,,,,-,-,,
18,Destroyer Thor,/destroyer-thor/10-20279/,Thor Odinson,85,100,100,100,100,100,"['Accelerated Development', 'Accelerated Healing', 'Agility', 'Anti-Gravity', 'Astral Projection', 'Attack Negation', 'Attack Reflection', 'Berserk Mode', 'Corruption Resistance', 'Curse Resistance', 'Damage Reduction', 'Damage Transferal', 'Dimensional Awareness', 'Dimensional Travel', 'Divine Powers', 'Durability', 'Electricity Absorption', 'Electricity Resistance', 'Electro-Magnetism Manipulation', 'Electrokinesis', 'Element Control', 'Emotional Power Up', 'Endurance', 'Energy Absorption', 'Energy Armor', 'Energy Beams', 'Energy Blasts', 'Energy Manipulation', 'Energy Resistance', 'Fire Control', 'Fire Resistance', 'Flight', 'Force Fields', 'Godly Physiology', 'Gravity Control', 'Heat Generation', 'Heat Resistance', 'Hellfire Resistance', 'Illusion Resistance', 'Illusions', 'Indomitable Will', 'Intelligence', 'Interstellar Travel', 'Invulnerability', 'Laser Manipulation', 'Levitation', 'Longevity', 'Magic', 'Magic Absorption', 'Magic Resistance', 'Matter Absorption', 'Matter Manipulation', 'Melting', 'Mind Control Resistance', 'Molecular Manipulation', 'Omnilingualism', 'Portal Creation', 'Possession Resistance', 'Power Sense', 'Power Suit', 'Radiation Immunity', 'Rage Power', 'Reality Warping Resistance', 'Regeneration', 'Self-Sustenance', 'Size Changing', 'Soul Resistance', 'Space Survivability', 'Spaceflight', 'Spatial Awareness', 'Stamina', 'Super Speed', 'Super Strength', 'Telepathy Resistance', 'Teleportation', 'Toxin and Disease Control', 'Toxin and Disease Resistance', 'Unholy Resistance', 'Vision - Heat', 'Vortex Creation', 'Weapon-based Powers', 'Weapons Master', 'Weather Control', 'Will Of God', 'Wind Control', 'Adaptation', 'Amber', 'Antiforce Manipulation', 'Antimatter Manipulation', 'Astral Trap', 'Astral Travel', 'Aura', 'Banish', 'Black Hole Manipulation', 'Blessed', 'Bullet Time', 'Cloaking', 'Cloning', 'Cosmic Awareness', 'Curse Manipulation', 'Darkforce Manipulation', 'Dimension Storage', 'Durability Negation', 'EMP Generation', 'Enhanced Condition', 'Enhanced Hearing', 'Enhanced Memory', 'Enhanced Sight', 'Enhanced Smell', 'Existence Erasure Resistance', 'Explosion Manipulation', 'Fate Resistance', 'Holy Resistance', 'Homing Attack', 'Hyperkinesis', 'Hypnokinesis', 'Intangibility', 'Invisibility', 'Jump', 'Light Control', 'Marksmanship', 'Master Martial Artist', 'Master Tactician', 'Mind Control', 'Mind Transfer', 'Non-Corporeal', 'Non-Physical Interaction', 'Odin Force', 'Paralysis', 'Phasing', 'Physics Manipulation', 'Possession', 'Power Absorption Immunity', 'Power Mimicry Immunity', 'Preparation', 'Pressure Points', 'Psionic Powers', 'Radar Sense', 'Radiation Absorption', 'Radiation Control', 'Reflexes', 'Resurrection', 'Soul Manipulation', 'Spatial Communication', 'Stands', 'Summoning', 'Super Breath', 'Swordsmanship', 'Telekinesis', 'Telepathy', 'Time Manipulation Resistance', 'Time Travel', 'Transformation', 'Vibration Manipulation', 'Vision - Infrared', 'Vision - Microscopic', 'Vision - Night', 'Vision - Telescopic', 'Immortality', 'Immortality Negation', 'Life Manipulation', 'Necromancy']",Earth-616 - Prime Marvel Universe,,,,Good,Male,-,-,-,-
