,name,href,identity,intelligence,strength,speed,durability,power,combat,powers,full name,place of birth,first appearance,alignment,universe,gender,height,weight,eye color,hair color
0,Ubbo-Sathla,/ubbo-sathla/10-15635/,,0,0,0,0,0,0,,,,,Bad,,,-,-,,
1,Ubik,/ubik/10-32845/,Ubik,0,0,0,0,0,0,,,,,,Berserk - Berserk,,-,-,,
2,Ubu,/ubu/10-10362/,Ubu,0,0,0,0,0,0,,,,Batman #232,Bad,Prime Earth - Prime DC Comics Universe,Male,-,-,,No Hair
3,Ubu,/ubu/10-40086/,,0,0,0,0,0,0,,,,,,New 52 - New 52,,-,-,,
4,Udeshiubo,/udeshiubo/10-36815/,,0,0,0,0,0,0,,,,,,BBB - Blood Blockade Battlefront,,-,-,,
5,Udo Heinemann,/udo-heinemann/10-34618/,,0,0,0,0,0,0,,,,,,Monster,,-,-,,
6,Udyr,/udyr/10-44467/,Udyr,0,0,0,0,0,0,,,,"December 2, 2009 (League of Legends)",Neutral,League Of Legends - League of Legends,Male,-,-,-,-
7,Ugg-I,/ugg-i/10-21130/,,0,0,0,0,0,0,,,,,,,,-,-,,
8,Ugga-Naach,/ugga-naach/10-36531/,Ugga-Naach,100,100,100,100,100,100,"['Nigh-Omnipotence', 'Nigh-Omniscience', 'Omnipresence']",,,,,,,-,-,,
9,Ugin (Post-Mending),/ugin-post-mending/10-33568/,Ugin,100,60,80,80,100,35,"['Acid Resistants', 'Attack Negation', 'Cold Resistance', 'Dimensional Travel', 'Electricity Resistance', 'Elemental Transmogrification', 'Energy Manipulation', 'Energy Resistance', 'Extrasensory Perception', 'Fire Control', 'Fire Resistance', 'Flight', 'Heat Generation', 'Heat Resistance', 'Longevity', 'Magic', 'Magic Absorption', 'Magic Resistance', 'Master Tactician', 'Matter Manipulation', 'Memory Manipulation', 'Mind Control Resistance', 'Natural Armor', 'Natural Weapons', 'Possession Resistance', 'Preparation', 'Self-Sustenance', 'Soul Manipulation', 'Soul Resistance', 'Summoning', 'Telepathy', 'Telepathy Resistance', 'Teleportation', 'Vaporising Beams', 'Vitakinesis', 'Animal Attributes', 'Astral Projection', 'Avatar Creation', 'Banish', 'Clairvoyance', 'Clairvoyance Resistance', 'Corruption Resistance', 'Cosmic Awareness', 'Curse Resistance', 'Element Control', 'Endurance', 'Energy Blasts', 'Hellfire Resistance', 'Holy Resistance', 'Illusion Resistance', 'Illusions', 'Immortality', 'Invulnerability', 'Jaw Strength', 'Large Size', 'Life Manipulation', 'Non-Corporeal', 'Non-Physical Interaction', 'Possession', 'Power Nullifier', 'Purification', 'Sealing', 'Telekinesis', 'Terrakinesis', 'Time Manipulation Resistance', 'Toxin and Disease Resistance', 'Umbrakinesis', 'Unholy Resistance', 'Weather Control', 'Death Manipulation', 'Existence Erasure Resistance', 'Fate Manipulation', 'Mind Control', 'Precognition', 'Reality Warping Resistance', 'Resurrection', 'Time Manipulation', 'Time Travel']",,Dominaria,,Good,MtG - Magic the Gathering,Male,-,-,-,-
10,Ugnaught,/ugnaught/10-29013/,,0,0,0,0,0,0,,,,,,Star Wars - Star Wars Universe,,-,-,,
11,Ugo,/ugo/10-26130/,Uraltugo Noi Nueph,100,100,100,100,100,20,"['Enhanced Hearing', 'Enhanced Memory', 'Enhanced Sight', 'Existence Erasure', 'Extrasensory Perception', 'Immortality', 'Intelligence', 'Magic', 'Magic Resistance', 'Nigh-Omniscience', 'Non-Corporeal', 'Non-Physical Interaction', 'Soul Manipulation', 'Spatial Manipulation', 'Time Manipulation', 'Time Manipulation Resistance', 'Time Travel', 'Conceptual Manipulation', 'Creation', 'Element Control', 'Enhanced Smell', 'Fire Control', 'Law Manipulation', 'Life Manipulation', 'Longevity', 'Plot Manipulation', 'Plot Manipulation Resistance', 'Power Nullifier', 'Reality Warping', 'Reality Warping Resistance', 'Regeneration', 'Teleportation']",,,,Good,Magi - Magi,Male,-,-,Blue,Blue
12,Ugo,/ugo/10-41238/,,0,0,0,0,0,0,,,,,,Jormungand - Jormungand,,-,-,,
13,Uguisu Anko,/uguisu-anko/10-45581/,,0,0,0,0,0,0,,,,,,COTN - Call Of The Night,,-,-,,
14,Uhluhtc,/uhluhtc/10-37109/,Uhluhtc,100,100,100,100,100,100,"['Nigh-Omnipotence', 'Nigh-Omniscience', 'Omnipresence']",,,,,,,-,-,,
15,Uhtred,/uhtred/10-31869/,,0,0,0,0,0,0,,,,The Last Kingdom Season 1 Episode 1,Good,The Last Kingdom,Male,"178 cm • 5'10.1""",76 kg • 167.55 lbs,Brown,Blue
16,Uhura,/uhura/10-10569/,Nyota Uhura,0,0,0,0,0,0,,,,,Good,Star Trek - Star Trek,Female,-,-,,
17,Uighur,/uighur/10-27641/,Uighur,60,80,25,60,80,100,"['Afterimage Creation', 'Agility', 'Attack Negation', 'Attack Reflection', 'Berserk Mode', 'Bloodlust', 'Chi Manipulation', 'Curse Manipulation', 'Curse Resistance', 'Damage Boost', 'Damage Reduction', 'Damage Transferal', 'Data Manipulation', 'Death Manipulation', 'Death Touch', 'Dexterity', 'Dream Manipulation', 'Durability', 'Durability Negation', 'Endurance', 'Energy Blasts', 'Enhanced Condition', 'Enhanced Hearing', 'Enhanced Sight', 'Enhanced Smell', 'Extrasensory Perception', 'Fear Inducement', 'Fear Manipulation', 'Godly Physiology', 'Indomitable Will', 'Instinctive Reaction', 'Intelligence', 'Intuitive aptitude', 'Invulnerability', 'Madness Manipulation', 'Marksmanship', 'Master Martial Artist', 'Mind Control Resistance', 'Mind Transfer', 'Natural Armor', 'Natural Weapons', 'Ninjutsu', 'Ocular Techniques', 'Pain Manipulation', 'Pain Suppression', 'Peak Human Condition', 'Physical Anomaly', 'Power Nullifier', 'Rage Inducement', 'Rage Power', 'Reactive Evolution', 'Reactive Power Level', 'Reflexes', 'Seismic Power', 'Sense Manipulation', 'Spinjitzu', 'Stamina', 'Statistics Amplification', 'Statistics Reduction', 'Status Effect Inducement', 'Super Strength', 'Toxin and Disease Control', 'Toxin and Disease Resistance', 'Weapon-based Powers', 'Weapons Master', 'Ability Shift', 'Accelerated Development', 'Accelerated Healing', 'Adaptation', 'Age Manipulation', 'Amber', 'Aura', 'Biokinesis', 'Chaos Manipulation', 'Clairvoyance', 'Clairvoyance Resistance', 'Cold Resistance', 'Corruption Resistance', 'Cryokinesis', 'Danger Sense', 'Darkforce Manipulation', 'Duplication', 'Electricity Resistance', 'Element Control', 'Energy Constructs', 'Energy Embodiment', 'Energy Manipulation', 'Energy Resistance', 'Enhanced Memory', 'Enhanced Touch', 'Entropy Projection', 'Fate Resistance', 'Fire Resistance', 'Heat Resistance', 'Hypnokinesis', 'Illusion Resistance', 'Illusions', 'Information Analysis', 'Information Manipulation', 'Intangibility', 'Jump', 'Longevity', 'Magic', 'Magic Resistance', 'Matter Manipulation', 'Memory Manipulation', 'Non-Physical Interaction', 'Photographic Reflexes', 'Possession Resistance', 'Power Bestowal', 'Power Mimicry', 'Precognition', 'Preparation', 'Pressure Points', 'Psionic Powers', 'Regeneration Negation', 'Sleep Manipulation', 'Soul Manipulation', 'Soul Resistance', 'Spatial Awareness', 'Spatial Communication', 'Spatial Manipulation', 'Stealth', 'Summoning', 'Telekinesis', 'Telepathy Resistance', 'Terrakinesis', 'Vibration Manipulation', 'Vision - Night', 'Vision - Telescopic', 'Vitakinesis', 'Void Manipulation', 'Water Control', 'Weather Control', 'Wind Control', 'Life Manipulation', 'Regeneration']",,,,,Fist Of The North Star - FOTNS,,-,-,,
18,Ukko,/ukko/10-21680/,,0,0,0,0,0,0,,,,,,,,-,-,,
19,Ukko,/ukko/10-41057/,Ukko-Yjumala,0,0,0,0,0,0,,,,,,Earth-616 - Prime Marvel Universe,,-,-,,
20,Uky?,/uky/10-43271/,,0,0,0,0,0,0,,,,,,Senran Kagura - Senran Kagura,,-,-,,
21,Ukyo,/ukyo/10-27900/,Ukyo,0,0,0,0,0,0,,,,,,,,-,-,,
22,Ukyo Saionji,/ukyo-saionji/10-33168/,,0,0,0,0,0,0,,,,,,Dr. Stone,,-,-,,
23,Ulamog,/ulamog/10-32527/,,100,100,90,100,100,60,"['Avatar Creation', 'Biokinesis', 'Cold Resistance', 'Corruption Resistance', 'Cosmic Awareness', 'Curse Resistance', 'Deconstruction', 'Dimensional Travel', 'Electricity Resistance', 'Endurance', 'Energy Resistance', 'Existence Erasure', 'Existence Erasure Resistance', 'Extrasensory Perception', 'Flight', 'Godly Physiology', 'Holy Resistance', 'Immortality', 'Invulnerability', 'Large Size', 'Levitation', 'Madness Manipulation', 'Magic', 'Magic Absorption', 'Magic Resistance', 'Matter Absorption', 'Matter Manipulation', 'Mind Control Resistance', 'Molecular Dissipation', 'Molecular Manipulation', 'Nigh-Omniscience', 'Non-Corporeal', 'Organic Manipulation', 'Possession Resistance', 'Power Nullifier', 'Radiation Immunity', 'Regeneration', 'Soul Resistance', 'Summoning', 'Telepathy', 'Tentacles', 'Toxin and Disease Control', 'Toxin and Disease Resistance', 'Attack Negation', 'Bone Manipulation', 'Corruption', 'Creation', 'Durability Negation', 'Energy Manipulation', 'Fear Inducement', 'Fire Resistance', 'Heat Resistance', 'Hellfire Resistance', 'Higher Dimensional Manipulation', 'Illusion Resistance', 'Life Manipulation', 'Multiple Limbs', 'Reality Warping', 'Reality Warping Resistance', 'Telepathy Resistance', 'Teleportation', 'Unholy Resistance', 'Acausality', 'Berserk Mode', 'Insanity', 'Mind Control', 'Physics Manipulation', 'Probability Manipulation', 'Rage Inducement', 'Resurrection', 'Time Manipulation Resistance']",,The Blind Eternities,,Bad,MtG - Magic the Gathering,Male,-,-,-,-
24,Ulana (Watcher),/ulana-watcher/10-41062/,Ulana,0,0,0,0,0,0,,,,,,Earth-616 - Prime Marvel Universe,,-,-,,
25,Ulf,/ulf/10-34996/,,0,0,0,0,0,0,,,,,,Tangled,,-,-,,
26,Ulf,/ulf/10-38531/,,0,0,0,0,0,0,,,,,,JCA - Jackie Chan Adventures,,-,-,,
27,Ulic Qel-Droma,/ulic-qel-droma/10-13450/,Ulic Qel-Droma,0,0,0,0,0,0,,,,,,SWL - Star Wars: Legends Multiverse,,-,-,,
28,Ulik,/ulik/10-14711/,Ulik,60,100,80,85,75,90,"['Berserk Mode', 'Cold Resistance', 'Dexterity', 'Emotional Power Up', 'Endurance', 'Fate Resistance', 'Fire Resistance', 'Heat Resistance', 'Jump', 'Master Martial Artist', 'Master Tactician', 'Radiation Immunity', 'Rage Power', 'Reflexes', 'Shockwaves Generation', 'Stamina', 'Toxin and Disease Resistance', 'Weapons Master', 'Accelerated Healing', 'Acid Resistants', 'Acrobatics', 'Agility', 'Density Control', 'Electricity Resistance', 'Energy Resistance', 'Enhanced Hearing', 'Enhanced Sight', 'Enhanced Smell', 'Enhanced Touch', 'Regeneration', 'Sound Manipulation', 'Swordsmanship', 'Flight']",,,,Bad,Earth-616 - Prime Marvel Universe,Male,"193.1 cm • 6'4""",353.8 kg • 780 lbs,-,-
29,Ulik,/ulik/10-42127/,Ulik,0,0,0,0,0,0,,,,,,Earth-982 - MC2,,-,-,,
30,Ulik,/ulik/10-46675/,,0,0,0,0,0,0,,,,Avengers Assemble season 1 eposide 4,Bad,MAU - Marvel Animated Universe,Male,-,-,White,Red
31,Ullr,/ullr/10-14233/,,0,0,0,0,0,0,,,,,,,,-,-,,
