,name,href,identity,intelligence,strength,speed,durability,power,combat,powers,full name,place of birth,first appearance,alignment,universe,gender,height,weight,eye color,hair color
0,Barty Crouch Jr,/barty-crouch-jr/10-17975/,Barty Crouch Jr,70,1,6,10,55,55,"['Dark Arts', 'Dark Magic', 'Darkforce Manipulation', 'Deconstruction', 'Energy Blasts', 'Energy Constructs', 'Fire Control', 'Force Fields', 'Indomitable Will', 'Insanity', 'Intelligence', 'Levitation', 'Light Control', 'Magic', 'Master Tactician', 'Mind Control', 'Mind Control Resistance', 'Petrification', 'Telekinesis', 'Telepathy Resistance', 'Teleportation', 'Water Control', 'Accelerated Healing', 'Plant Control', 'Shapeshifting', 'Biokinesis', 'Telepathy']",,,Harry Potter and the Goblet of Fire,Bad,,Male,-,-,-,Black
1,Barty Crouch Sr,/barty-crouch-sr/10-19481/,,70,1,1,10,55,55,"['Dark Arts', 'Dark Magic', 'Deconstruction', 'Energy Blasts', 'Energy Constructs', 'Fire Control', 'Force Fields', 'Levitation', 'Light Control', 'Magic', 'Master Tactician', 'Mind Control', 'Petrification', 'Telekinesis', 'Telepathy Resistance', 'Teleportation', 'Water Control', 'Accelerated Healing', 'Darkforce Manipulation', 'Indomitable Will', 'Memory Manipulation', 'Mind Control Resistance', 'Telepathy']",,,Harry Potter and the Goblet of Fire,Good,,Male,-,-,Brown,Black
2,Bartz Klauser,/bartz-klauser/10-49581/,,55,5,80,100,100,80,"['Accelerated Development', 'Agility', 'Durability', 'Extrasensory Perception', 'Immortality Negation', 'Intelligence', 'Madness Manipulation', 'Magic', 'Master Martial Artist', 'Regeneration Negation', 'Stamina', 'Stealth', 'Super Speed', 'Time Manipulation Resistance', 'Weapons Master', 'Age Manipulation', 'Blood Manipulation', 'Cold Resistance', 'Conceptual Manipulation', 'Cryokinesis', 'Damage Boost', 'Death Manipulation', 'Dexterity', 'Durability Negation', 'Electrokinesis', 'Empathy', 'Existence Erasure Resistance', 'Fire Control', 'Force Fields', 'Heat Resistance', 'Hellfire Resistance', 'Instinctive Reaction', 'Intangibility', 'Law Manipulation', 'Magic Resistance', 'Matter Manipulation', 'Non-Physical Interaction', 'Paralysis', 'Power Modification', 'Power Nullifier', 'Projection', 'Regeneration', 'Soul Manipulation', 'Soul Resistance', 'Sound Manipulation', 'Statistics Amplification', 'Status Effect Inducement', 'Terrakinesis', 'Toxin and Disease Control', 'Toxin and Disease Resistance', 'Vibration Manipulation', 'Water Control', 'Wind Control']",,Lix,Final Fantasy 5,-,FF V - Final Fantasy V,Male,"176 cm • 5'9.3""",58 kg • 127.87 lbs,Brown,Blue
3,Barugon,/barugon/10-11414/,,55,75,20,18,50,30,"['Animal Attributes', 'Cold Resistance', 'Cryokinesis', 'Energy Beams', 'Large Size', 'Dexterity', 'Elasticity', 'Enhanced Sight', 'Natural Armor', 'Natural Weapons', 'Electricity Resistance', 'Energy Resistance', 'Fire Resistance', 'Heat Resistance', 'Invulnerability', 'Marksmanship', 'Multiple Limbs', 'Radiation Immunity', 'Toxin and Disease Resistance']",,,,-,,Male,"80 m • 262'5.6""",-,-,-
4,Baruragaru,/baruragaru/10-44979/,,0,0,0,0,0,0,,,,,,MH - Monster Hunter,,-,-,,
5,Baryonyx,/baryonyx/10-13596/,Baryonyx,35,25,7,10,10,20,"['Animal Attributes', 'Endurance', 'Enhanced Smell', 'Grappling/Climbing', 'Jaw Strength', 'Natural Weapons', 'Amphibious Respiration', 'Jump', 'Large Size', 'Natural Armor']",,Isla Sorna/Isla Nublar,Jurassic World: Fallen Kingdom (mentioned in Jurassic Park III),Neutral,Jurassic Park - Jurassic Park,-,"250 cm • 8'2.4""","1.72 ton • 3,800 lbs",Yellow,No Hair
6,Basanos,/basanos/10-38857/,,100,100,100,100,100,100,"['Nigh-Omnipotence', 'Nigh-Omniscience', 'Omnipresence']",,,,,Vertigo - Vertigo Universe,,-,-,,
7,Basara Toujou,/basara-toujou/10-38357/,Basara Toujou,0,0,0,0,0,0,,,,,,TTOSND - The Testament of Sister New Devil Universe,,-,-,,
8,Basatan,/basatan/10-36501/,Basatan,100,100,100,100,100,100,"['Nigh-Omnipotence', 'Nigh-Omnipresence']",,,,,,,-,-,,
9,Basch,/basch/10-44174/,Basch Von Ronsenburg,0,0,0,0,0,0,,,,Final Fantasy XII (video game),Good,FF XII - Final Fantasy XII,Male,"180 cm • 5'10.9""",-,Blue,Blond
10,Base,/base/10-25926/,Hiro Sokuto,0,0,0,0,0,0,,,,,,,,-,-,,
11,Bash,/bash/10-43702/,,65,13,25,25,45,25,,,,Skylanders: Spyro's Adventure,Good,Skylanders - Skylanders,Male,-,-,Red,No Hair
12,Bash?,/bash/10-43267/,,0,0,0,0,0,0,,,,,,Senran Kagura - Senran Kagura,,-,-,,
13,Basher,/basher/10-20162/,,0,0,0,0,0,0,,,,,,,,-,-,,
14,Basher Tarr,/basher-tarr/10-36722/,,0,0,0,0,0,0,,,,,,Ocean's 11 - Ocean's Eleven,,-,-,,
15,Basil,/basil/10-25863/,,50,100,70,65,50,95,"['Accelerated Development', 'Accelerated Healing', 'Acrobatics', 'Agility', 'Dexterity', 'Durability', 'Energy Beams', 'Energy Blasts', 'Fire Resistance', 'Flight', 'Jump', 'Master Martial Artist', 'Peak Human Condition', 'Reflexes', 'Stamina', 'Super Speed', 'Super Strength', 'Berserk Mode', 'Chi Manipulation', 'Clairvoyance Resistance', 'Danmaku', 'Energy Manipulation', 'Enhanced Hearing', 'Enhanced Sight', 'Invulnerability', 'Longevity', 'Marksmanship', 'Master Tactician', 'Power Sense', 'Radiation Immunity', 'Stealth', 'Transformation']",,Universe 9,Dragon Ball Super episode 78,Bad,DB - Dragon Ball Verse,Male,-,-,Yellow,Red
16,Basil,/basil/10-38421/,,0,0,0,0,0,0,,,,,,JCA - Jackie Chan Adventures,,-,-,,
17,Basil,/basil/10-44106/,,0,0,0,0,0,0,,,,,,TES - The Elder Scrolls Verse,,-,-,,
18,Basil Frankenstein,/basil-frankenstein/10-26165/,Basil Von Frankenstein,0,0,0,0,0,0,,,,,,Earth-616 - Prime Marvel Universe,,-,-,,
19,Basil Hawkins,/basil-hawkins/10-22440/,,0,0,0,0,0,0,,,,,,OP - One Piece Verse,Male,-,-,,
20,Basilisk,/basilisk/10-11481/,"Basilisk, Serpent of Slytherin",0,0,0,0,0,0,,,,,,,,-,-,,
21,Basilisk,/basilisk/10-41976/,Scott Summers,0,0,0,0,0,0,,,,,,Earth-11326 - Marvel's Age Of X,,-,-,,
22,Basilisk I,/basilisk-i/10-575/,,0,0,0,0,0,0,,,,,Bad,Earth-616 - Prime Marvel Universe,,-,-,,
23,Bask,/bask/10-49508/,Bask,60,55,50,40,45,60,"['Durability', 'Stamina', 'Super Strength', 'Ability Shift', 'Acrobatics', 'Agility', 'Chi Manipulation', 'Cold Resistance', 'Damage Boost', 'Damage Transferal', 'Danger Sense', 'Endurance', 'Enhanced Sight', 'Enhanced Smell', 'Extrasensory Perception', 'Heat Resistance', 'Indomitable Will', 'Instinctive Reaction', 'Jump', 'Master Martial Artist', 'Natural Weapons', 'Reflexes', 'Statistics Amplification', 'Stealth', 'Vibration Manipulation', 'Weapon-based Powers', 'Weapons Master', 'Energy Resistance']",,,,,Fist Of The North Star - FOTNS,,-,-,,
24,Basqat,/basqat/10-22677/,Basqat,75,100,100,90,80,50,"['Durability', 'Enhanced Hearing', 'Flight', 'Intelligence', 'Invulnerability', 'Super Speed', 'Super Strength', 'Vision - Heat', 'Vision - Infrared', 'Vision - Microscopic', 'Vision - Night', 'Vision - Telescopic', 'Vision - Thermal', 'Vision - X-Ray', 'Accelerated Healing', 'Godly Physiology', 'Indomitable Will', 'Interstellar Travel', 'Reflexes', 'Spaceflight', 'Super Breath']",,,,,Smallville - Smallville (2001-2011 TV Series),,-,-,,
25,Bass,/bass/10-21349/,SWN-001,0,0,0,0,0,0,,,,,,,,-,-,,
26,Bass,/bass/10-44133/,,0,0,0,0,0,0,,,,,,B66TV - Batman (1966 TV Series),,-,-,,
27,Bass Armstrong,/bass-armstrong/10-36578/,,0,0,0,0,0,0,,,,,-,DOA - Dead Or Alive,Male,"196 cm • 6'5.2""",157 kg • 346.13 lbs,-,-
28,Bast,/bast/10-21348/,,0,0,0,0,0,0,,,,,,,,-,-,,
29,Bast,/bast/10-17983/,,0,0,0,0,0,0,,,,,,,,-,-,,
