,name,href,identity,intelligence,strength,speed,durability,power,combat,powers,full name,place of birth,first appearance,alignment,universe,gender,height,weight,eye color,hair color
0,Prophecy,/prophecy/10-25203/,,0,0,0,0,0,0,,,,,,,,-,-,,
1,Prophet,/prophet/10-14487/,Laurence Barnes,85,50,75,50,30,100,"['Cloaking', 'Hacking', 'Madness Manipulation', 'Super Speed', 'Super Strength', 'Acrobatics', 'Adaptation', 'Electricity Resistance', 'Energy Absorption', 'Energy Armor', 'Energy Manipulation', 'Explosion Manipulation', 'Extrasensory Perception', 'Fire Control', 'Illusions', 'Immortality', 'Master Martial Artist', 'Master Tactician', 'Mind Control', 'Mind Control Resistance', 'Precognition', 'Radiation Control', 'Radiation Immunity', 'Reactive Evolution', 'Reactive Power Level', 'Regeneration', 'Resurrection', 'Self-Sustenance', 'Shapeshifting', 'Smoke Manipulation', 'Statistics Amplification', 'Telekinesis', 'Toxin and Disease Resistance', 'Vehicular Mastery', 'Weapons Master']",,,,,,,-,-,,
2,Prophet,/prophet/10-24835/,Loptr,65,100,100,100,100,95,"['Duplication', 'Energy Manipulation', 'Flight', 'Immortality', 'Magic', 'Memory Manipulation', 'Non-Physical Interaction', 'Social Influencing', 'Spaceflight', 'Telekinesis', 'Time Manipulation', 'Afterimage Creation', 'Astral Projection', 'Clairvoyance', 'Conceptual Manipulation', 'Creation', 'Dimensional Awareness', 'Energy Armor', 'Energy Beams', 'Energy Blasts', 'Extrasensory Perception', 'Information Analysis', 'Master Martial Artist', 'Non-Corporeal', 'Pocket Dimensions', 'Precognition', 'Reality Warping', 'Soul Resistance', 'Terrakinesis', 'Time Travel', 'Vaporising Beams', 'Weapon Creation']",,,Bayonetta 2,Bad,Bayonetta - Bayonetta Universe,Male,-,-,Blue,White
3,Prophet (William Stryker),/prophet-william-stryker/10-32185/,Prophet,0,0,0,0,0,0,,,,,,Earth-295 - Age of Apocalypse,,-,-,,
4,Prophet Of Regret,/prophet-of-regret/10-44160/,,0,0,0,0,0,0,,,,,,Halo - Halo Video Game Universe,,-,-,,
5,Prophet Of Truth,/prophet-of-truth/10-44159/,,0,0,0,0,0,0,,,,,Bad,Halo - Halo Video Game Universe,Male,-,-,-,-
6,Prophet Velen,/prophet-velen/10-14729/,,0,0,0,0,0,0,,,,,,Warcraft - Warcraft,,-,-,,
7,Prosciutto,/prosciutto/10-48845/,,80,5,25,10,20,70,"['Age Manipulation', 'Aura', 'Invisibility', 'Non-Corporeal', 'Non-Physical Interaction', 'Summoning', 'Afterimage Creation']",,,"Express Train to Florence, Part 1 (Shadowed) Chapter 491 (1st full appearance)",Bad,JJBA - JoJo's Bizarre Adventure,Male,"178 cm • 5'10.1""",-,Blue,Blond
8,Proselyte,/proselyte/10-13416/,Proselyte,0,0,0,0,0,0,,Proselyte,,Green Lantern Vol 4 #52,Good,Prime Earth - Prime DC Comics Universe,Female,-,-,,
9,Proselyte,/proselyte/10-41572/,Shane Thompson,0,0,0,0,0,0,,,,,,Prime Earth - Prime DC Comics Universe,,-,-,,
10,Protector,/protector/10-30784/,Alexis,0,0,0,0,0,0,,,,,,Earth-616 - Prime Marvel Universe,,-,-,,
11,Protector,/protector/10-44432/,Noh-Varr,90,90,100,85,70,85,"['Accelerated Development', 'Acrobatics', 'Agility', 'Bionics', 'Changing Armor', 'Clairvoyance Resistance', 'Cloaking', 'Cold Resistance', 'Dexterity', 'Durability', 'Electricity Resistance', 'Energy Beams', 'Energy Constructs', 'Fire Resistance', 'Flight', 'Force Fields', 'Gadget Usage', 'Hacking', 'Heat Resistance', 'Information Analysis', 'Intelligence', 'Interstellar Travel', 'Marksmanship', 'Mechanical Aptitude', 'Nanotechnology', 'Pain Suppression', 'Peak Human Condition', 'Power Suit', 'Reflexes', 'Robotic Engineering', 'Self-Sustenance', 'Space Survivability', 'Stamina', 'Super Speed', 'Super Strength', 'Surface Scaling', 'Technological Possession', 'Technopath/Cyberpath', 'Vaporising Beams', 'Vehicular Mastery', 'Wallcrawling', 'Weapon Creation', 'Weapon-based Powers', 'Electricity Absorption', 'Electrokinesis', 'Element Control', 'EMP Generation', 'Endurance', 'Energy Manipulation', 'Energy Resistance', 'Enhanced Condition', 'Enhanced Hearing', 'Invulnerability', 'Jump', 'Light Control', 'Master Martial Artist', 'Metal Manipulation', 'Natural Armor', 'Telepathy', 'Teleportation', 'Toxin and Disease Resistance', 'Vision - Night', 'Vision - Telescopic', 'Accelerated Healing', 'Mind Control']",,"Kree Empire, Earth 200080",,Good,,Male,"177.8 cm • 5'10""",74.84 kg • 165 lbs,Blue,White
12,Protege,/protege/10-12684/,Protege,100,100,100,100,100,100,"['Nigh-Omnipotence', 'Nigh-Omniscience', 'Omnipresence']",,,"Guardians of the Galaxy #15 (August, 1991)",Bad,,Male,-,-,Blue,Black / Blue
13,Proteus,/proteus/10-11159/,Remington Cord,0,0,0,0,0,0,,Remington Percival Cord,,Beware the Creeper #2,Bad,,Male,-,-,-,Brown
14,Proteus,/proteus/10-27513/,,0,0,0,0,0,0,,,,,,Gargoyles - Gargoyles (1994–1997 TV Series),,-,-,,
15,Proteus,/proteus/10-40572/,Kevin MacTaggert,70,5,25,100,100,25,"['Force Fields', 'Immortality', 'Intelligence', 'Invulnerability', 'Levitation', 'Longevity', 'Molecular Manipulation', 'Phasing', 'Reality Warping', 'Super Speed', 'Teleportation', 'Terrakinesis', 'Astral Projection', 'Density Control', 'Energy Absorption', 'Energy Blasts', 'Energy Manipulation', 'Matter Absorption', 'Possession', 'Power Augmentation', 'Psionic Powers', 'Shapeshifting', 'Telekinesis', 'Telepathy', 'Energy Embodiment', 'Power Absorption', 'Power Nullifier']",,Somewhere in Scotland,"X-Men #119 (December, 1978)",Good,Earth-616 - Prime Marvel Universe,Male,"182.9 cm • 6'0""",-,White,No Hair
16,Proteus,/proteus/10-46027/,David Xavier,0,0,0,0,0,0,,,,,,Earth-1610 - Ultimate Marvel Universe,,-,-,,
17,Proteus,/proteus/10-47524/,,0,0,0,0,0,0,,,,,,Earth-92131 - Marvel's 92niverse,,-,-,,
18,Proteus Ridley,/proteus-ridley/10-16198/,,0,0,0,0,0,0,,,,,,,,-,-,,
19,Protex,/protex/10-19682/,Unknown,0,0,0,0,0,0,,,Ma'aleca'andra,JLA #1,Bad,Prime Earth - Prime DC Comics Universe,Male,-,-,,No Hair
20,Proto Man,/proto-man/10-24023/,,0,0,0,0,0,0,,,,,,,,-,-,,
21,Proto-Goblin,/proto-goblin/10-1402/,Nels Van Adder,0,0,0,0,0,0,,Nels Van Adder,,Spider-Man #-1 (1990),Bad,Earth-616 - Prime Marvel Universe,Male,-,-,Green,Blond
22,Protoboy,/protoboy/10-35788/,,0,0,0,0,0,0,,,,,,Robotboy,,-,-,,
23,Protogene Monster (Cosmoball),/protogene-monster-cosmoball/10-25786/,,55,100,80,50,75,55,"['Animal Attributes', 'Durability', 'Endurance', 'Energy Beams', 'Flight', 'Heat Resistance', 'Radiation Immunity', 'Stamina', 'Super Speed', 'Super Strength', 'Acrobatics', 'Agility', 'Energy Absorption', 'Energy Blasts', 'Energy Resistance', 'Interstellar Travel', 'Invulnerability', 'Jump', 'Reflexes', 'Stealth', 'Teleportation', 'Toxin and Disease Resistance', 'Illumination']",,,Cosmoball (2020),Good,,Male,-,-,Blue,White
24,Prototype,/prototype/10-23990/,Jimmy Ruiz,0,0,0,0,0,0,,,,,,,,-,-,,
25,Providence,/providence/10-41608/,Cassandra Newland,0,0,0,0,0,0,,,,,,Earth-50 - Wildstorm Universe,,-,-,,
26,Prowl,/prowl/10-19258/,Prowl,0,0,0,0,0,0,,,,,,TFP - Transformers: Prime (2010-2013 TV Series),,-,-,,
27,Prowl,/prowl/10-46624/,,0,0,0,0,0,0,,,,Transformers Animated S1E01,Good,TFA - Transformers: Animated (2007-2009 TV Series),Male,-,-,Blue,No Hair
28,Prowler,/prowler/10-11205/,Hobie Brown,0,0,0,0,0,0,,,,,,Earth-616 - Prime Marvel Universe,,-,-,,
29,Prowler,/prowler/10-27283/,Aaron Davis,60,5,19,10,20,70,"['Durability', 'Intelligence', 'Stamina', 'Super Speed', 'Super Strength', 'Acrobatics', 'Agility', 'Endurance', 'Energy Blasts', 'Gliding', 'Jump', 'Marksmanship', 'Master Martial Artist', 'Reflexes', 'Stealth', 'Vision - Night', 'Vision - Thermal', 'Weapons Master', 'Dexterity', 'Master Tactician', 'Wallcrawling', 'Weapon-based Powers']",,,Spider-man Into The Spider-Verse,Neutral,Spider-Verse - Spider-Man: Into the Spider-Verse Reality,Male,-,-,-,No Hair
30,Prowler,/prowler/10-41090/,Aaron Davis,0,0,0,0,0,0,,,,,,Earth-1610 - Ultimate Marvel Universe,,-,-,,
31,Prowler,/prowler/10-45362/,Hobie Brown,0,0,0,0,0,0,,,,Spider-man animated series season 4 eposide 11,Good,Earth-92131 - Marvel's 92niverse,Male,-,-,-,-
32,Proxima Midnight,/proxima-midnight/10-11289/,,65,75,90,50,60,100,"['Acrobatics', 'Bloodlust', 'Bullet Time', 'Cold Resistance', 'Dexterity', 'Durability', 'Endurance', 'Explosion Manipulation', 'Homing Attack', 'Intelligence', 'Longevity', 'Reflexes', 'Stamina', 'Weapons Master', 'Accelerated Healing', 'Antimatter Manipulation', 'Berserk Mode', 'Enhanced Hearing', 'Enhanced Memory', 'Enhanced Sight', 'Invulnerability', 'Jump', 'Master Martial Artist', 'Master Tactician', 'Projection', 'Swordsmanship', 'Toxin and Disease Resistance', 'Transformation']",,,New Avengers #8 - What Maximus Made; Prelude to Infinity,,Earth-616 - Prime Marvel Universe,Female,"198.1 cm • 6'6""",217.7 kg • 479.95 lbs,White,Blue
33,Proxima Midnight,/proxima-midnight/10-16757/,Proxima Midnight,70,20,11,15,40,90,"['Durability', 'Intelligence', 'Stamina', 'Super Speed', 'Super Strength', 'Agility', 'Dexterity', 'Endurance', 'Longevity', 'Marksmanship', 'Master Martial Artist', 'Master Tactician', 'Reflexes', 'Stealth', 'Weapons Master', 'Acrobatics', 'Cold Resistance', 'Jump', 'Weapon-based Powers']",Proxima Midnight,,Avengers: Infinity War,Bad,MCU - Marvel Cinematic Universe,Female,-,-,Red,Blue
34,Proxima Midnight,/proxima-midnight/10-24363/,Proxima Midnight,70,30,20,40,40,95,"['Acrobatics', 'Agility', 'Durability', 'Intelligence', 'Master Martial Artist', 'Peak Human Condition', 'Reflexes', 'Stamina', 'Super Speed', 'Super Strength', 'Weapons Master', 'Endurance', 'Enhanced Hearing', 'Enhanced Sight', 'Enhanced Smell', 'Heat Resistance', 'Invulnerability', 'Jump', 'Master Tactician', 'Weapon-based Powers']",,,Avengers Assemble Season 2 Episode 25,Bad,MAU - Marvel Animated Universe,Female,-,-,White,-
35,Proxima Midnight,/proxima-midnight/10-25003/,,0,0,0,0,0,0,,,,,,MCOC - Marvel Contest of Champions,,-,-,,
36,PROXY,/proxy/10-47767/,,0,0,0,0,0,0,,,,,,SWL - Star Wars: Legends Multiverse,,-,-,,
37,Proxy One,/proxy-one/10-37821/,,0,0,0,0,0,0,,,,,,Ergo Proxy,,-,-,,
38,Pru,/pru/10-10351/,,0,0,0,0,0,0,,,,,,Prime Earth - Prime DC Comics Universe,,-,-,,
39,Prudence Blackwood,/prudence-blackwood/10-23821/,Prudence Blackwood,60,1,5,5,50,25,"['Peak Human Condition', 'Stamina', 'Agility', 'Astral Projection', 'Dark Arts', 'Endurance', 'Illusions', 'Longevity', 'Magic', 'Magic Resistance']",,,,,Archieverse,,-,-,,
40,Prue Halliwell,/prue-halliwell/10-37512/,Prudence,60,1,1,5,70,30,"['Astral Projection', 'Telekinesis']",,,"Charmed: Season 1, Episode 1: Something Wicca This Way Comes.",Good,Charmed - Charmed Universe,Female,"160 cm • 5'3""",-,Green,Black
41,Prum,/prum/10-27645/,,60,20,15,30,35,55,"['Attack Reflection', 'Chi Manipulation', 'Durability', 'Energy Manipulation', 'Intelligence', 'Master Tactician', 'Peak Human Condition', 'Stamina', 'Acrobatics', 'Agility', 'Cold Resistance', 'Dexterity', 'Endurance', 'Fire Resistance', 'Heat Resistance', 'Jump', 'Marksmanship', 'Master Martial Artist', 'Power Sense', 'Reflexes']",,,,-,DB - Dragon Ball Verse,Male,-,-,Yellow,No Hair
42,Prysm,/prysm/10-34279/,Audrey Spears,0,0,0,0,0,0,,,,,,Prime Earth - Prime DC Comics Universe,,-,-,,
43,Psi,/psi/10-18391/,Gayle Marsh,55,1,25,5,80,20,"['Empathy', 'Flight', 'Levitation', 'Telekinesis', 'Telepathy', 'Dream Manipulation', 'Fear Inducement', 'Telepathy Resistance', 'Fear Manipulation', 'Mind Control']",,"Skokie, Illinois",Supergirl Vol 2 #1,Bad,Prime Earth - Prime DC Comics Universe,Female,"160 cm • 5'3""",46.7 kg • 102.96 lbs,Blue,Black
44,Psi-borg,/psi-borg/10-25631/,Fionna Wyman,0,0,0,0,0,0,,,,,,,,-,-,,
45,Psi-Hawk,/psi-hawk/10-19821/,Emmett Proudhawk,0,0,0,0,0,0,,,,,,Earth-616 - Prime Marvel Universe,,-,-,,
46,Psi-Lord,/psi-lord/10-32486/,Franklin Richards,0,0,0,0,0,0,,,,,,Earth-982 - MC2,,-,-,,
47,Psi-Slayer,/psi-slayer/10-39509/,Franklin Richards,0,0,0,0,0,0,,,,,,Earth-9907 - Red Skull Won WWII,,-,-,,
48,Psimon,/psimon/10-10273/,Simon Jones,85,1,5,5,60,30,"['Intelligence', 'Psionic Powers', 'Telekinesis', 'Telepathy', 'Illusion Resistance', 'Illusions', 'Memory Manipulation', 'Mind Blast', 'Mind Control', 'Mind Control Resistance']",,,New Teen Titans #3,Bad,Prime Earth - Prime DC Comics Universe,Male,"180.3 cm • 5'11""",65.8 kg • 145.06 lbs,White,No Hair
49,Psimon,/psimon/10-29239/,Simon Jones,65,1,1,5,55,25,"['Telepathy', 'Hypnokinesis', 'Memory Manipulation', 'Mind Blast', 'Mind Control', 'Mind Control Resistance', 'Psionic Powers', 'Sleep Manipulation', 'Telekinesis', 'Telepathy Resistance']",,,,Bad,Young Justice - Young Justice (2010- TV Series),-,-,-,Black,No Hair
50,Psionics,/psionics/10-42741/,Cindy,0,0,0,0,0,0,,,,,,Earth-807128 - Marvel's Earth-807128,,-,-,,
51,Psych,/psych/10-28108/,,0,0,0,0,0,0,,,,,,Arrowverse - DC Television Universe,,-,-,,
