,name,href,identity,intelligence,strength,speed,durability,power,combat,powers,full name,place of birth,first appearance,alignment,universe,gender,height,weight,eye color,hair color
0,Berzerker,/berzerker/10-27293/,,80,30,25,35,50,100,"['Accelerated Development', 'Accelerated Healing', 'Agility', 'Berserk Mode', 'Bloodlust', 'Durability', 'Endurance', 'Energy Embodiment', 'Grappling/Climbing', 'Hunters Instinct', 'Intelligence', 'Longevity', 'Master Martial Artist', 'Master Tactician', 'Peak Human Condition', 'Super Speed', 'Super Strength', 'Swordsmanship', 'Weapons Master', 'Acid Resistants', 'Animal Attributes', 'Aura', 'Blessed', 'Cold Resistance', 'Energy Resistance', 'Enhanced Condition', 'Enhanced Hearing', 'Enhanced Memory', 'Enhanced Sight', 'Enhanced Thievery', 'Fire Resistance', 'Godly Physiology', 'Heat Resistance', 'Immortality', 'Pain Suppression', 'Photographic Reflexes', 'Reflexes', 'Regeneration', 'Resurrection', 'Energy Manipulation', 'Fate Resistance', 'Heat Generation', 'Invulnerability']",,,BRZRKR #1,Neutral,,Male,-,-,Brown,Black
1,Bes,/bes/10-17986/,,0,0,0,0,0,0,,,,,,,,-,-,,
2,Bes,/bes/10-35167/,,60,25,30,20,55,60,"['Durability', 'Stamina', 'Super Speed', 'Super Strength', 'Endurance', 'Flight', 'Magic', 'Shockwaves Generation', 'Master Martial Artist']",,,,,BSU - Black Sands Universe,,-,-,,
3,Bess,/bess/10-41859/,,0,0,0,0,0,0,,,,,,Earth-811 - Days of Future Past,,-,-,,
4,Bess Fern,/bess-fern/10-37198/,,0,0,0,0,0,0,,,,,,VHD - Vampire Hunter D Manga Series,,-,-,,
5,Bessa,/bessa/10-33347/,Bessa,100,100,100,100,100,100,"['Nigh-Omnipotence', 'Omnipresence', 'Omniscience']",,,,,,,-,-,,
6,Best Jeanist,/best-jeanist/10-27099/,Tsunagu Hakamata,55,100,35,25,50,80,"['Cloth Manipulation', 'Acrobatics', 'Agility', 'Reflexes', 'Web Creation']",,,Manga: My Hero Academia - Chapter #48,Good,MHA - My Hero Academia,Male,"190 cm • 6'2.8""",-,Blue,Blond
7,Best Tiger,/best-tiger/10-20841/,,0,0,0,0,0,0,,,,,,Invincible,,-,-,,
8,Bestial Hunter,/bestial-hunter/10-45348/,,0,0,0,0,0,0,,,,,,Bloodborne - Bloodborne (2015 Game),,-,-,,
9,Bestla,/bestla/10-10781/,,0,0,0,0,0,0,,,,,,Earth-616 - Prime Marvel Universe,,-,-,,
10,Beta,/beta/10-16701/,,0,0,0,0,0,0,,,,,,TWD - The Walking Dead Series (2010-2021),,-,-,,
11,Beta,/beta/10-45705/,,0,0,0,0,0,0,,,,,,Horizon - Horizon Game Universe,,-,-,,
12,Beta,/beta/10-49239/,,0,0,0,0,0,0,,,,,,TWD - The Walking Dead,,-,-,,
