,name,href,identity,intelligence,strength,speed,durability,power,combat,powers,universe,full name,place of birth,first appearance,alignment,gender,height,weight,eye color,hair color
0,John Lynch,/john-lynch/10-30271/,John Lynch,0,0,0,0,0,0,,The Wild Storm - DC's The Wild Storm,,,"The Wild Storm #12 (May, 2018)",Neutral,Male,-,-,Blue,Grey
1,John Marston,/john-marston/10-15807/,,0,0,0,0,0,0,,RDR - Red Dead Redemption,,,,,,-,-,,
2,John McClane,/john-mcclane/10-12492/,John McClane,60,1,1,7,10,35,"['Stamina', 'Indomitable Will', 'Marksmanship', 'Stealth', 'Master Tactician', 'Reflexes', 'Weapons Master']",Die Hard - Die Hard,,,Die Hard,Good,Male,-,-,-,-
3,John Morris,/john-morris/10-33811/,,0,0,0,0,0,0,,Castlevania - Castlevania,,,,,,-,-,,
4,John Pilgrim,/john-pilgrim/10-16067/,Robert Pilgrim,0,0,0,0,0,0,,MCU - Marvel Cinematic Universe,Robert Pilgrim,,Punisher Season 2: Episode 1,Neutral,Male,"177.8 cm • 5'10""",80.7 kg • 177.91 lbs,Blue,Brown
5,John Preston,/john-preston/10-26519/,,65,1,6,5,10,90,"['Peak Human Condition', 'Stamina', 'Agility', 'Marksmanship', 'Master Martial Artist', 'Reflexes', 'Stealth', 'Swordsmanship', 'Weapons Master']",Equilibrium - Equilibrium,,,,Good,Male,-,-,-,Black
6,John Reese,/john-reese/10-31724/,John,65,1,6,10,5,80,"['Marksmanship', 'Peak Human Condition', 'Master Tactician', 'Weapons Master', 'Berserk Mode', 'Bloodlust', 'Indomitable Will']",POI - Person Of Interest,"John H. (last Name Unknown, Begins With",,Person Of Interest: Pilot (S1E1),Good,Male,-,-,Blue,Brown / White
7,John Rico,/john-rico/10-49015/,John D. Rico,0,0,0,0,0,0,,ST - Starship Troopers,,,,,,-,-,,
8,John Sansker,/john-sansker/10-1082/,,0,0,0,0,0,0,,,,,,Bad,Male,-,-,,
9,John Silent,/john-silent/10-23267/,,0,0,0,0,0,0,,,,,,,,-,-,,
10,John Silver,/john-silver/10-30854/,,0,0,0,0,0,0,,Treasure Planet,,,,Neutral,Male,-,-,-,-
11,John Smith,/john-smith/10-25446/,,0,0,0,0,0,0,,M&MS - Mr & Mrs Smith,,,,,,-,-,,
12,John Smith,/john-smith/10-25481/,John Smith,65,13,8,12,10,65,"['Durability', 'Intelligence', 'Peak Human Condition', 'Stamina', 'Super Speed', 'Super Strength', 'Agility', 'Endurance', 'Master Martial Artist', 'Reflexes', 'Stealth', 'Fire Resistance', 'Heat Resistance', 'Master Tactician', 'Weapons Master']",Hitman - Hitman,,,Hitman: Agent 47,Bad,Male,-,-,-,-
13,John Smith,/john-smith/10-38493/,,0,0,0,0,0,0,,JCA - Jackie Chan Adventures,,,,,,-,-,,
14,John Trent,/john-trent/10-37457/,,0,0,0,0,0,0,,Deus Ex - Deus Ex Universe,,,,,,-,-,,
15,John W. Creasy,/john-w-creasy/10-34779/,John W. Creasy,0,0,0,0,0,0,,,,,,,,-,-,,
16,John Watson,/john-watson/10-15909/,John H. Watson,0,0,0,0,0,0,,,Johnathan Hamish Watson,England,A study in Scarlet,Good,Male,"180.3 cm • 5'11""",131.1 kg • 289.03 lbs,Blue,Grey
17,John Wick,/john-wick/10-10935/,,65,5,8,10,10,90,"['Bloodlust', 'Marksmanship', 'Master Martial Artist', 'Master Tactician', 'Peak Human Condition', 'Stamina', 'Vehicular Mastery', 'Weapons Master', 'Agility', 'Disguise Mastery', 'Endurance', 'Pain Suppression', 'Pressure Points', 'Stealth', 'Swordsmanship']",JWU - John Wick Universe,,,,Good,Male,"185.4 cm • 6'1""",87.1 kg • 192.02 lbs,Brown,Black
18,John Winchester,/john-winchester/10-21764/,John Eric Winchester,0,0,0,0,0,0,,Supernatural - Supernatural Series Universe,,,,,,-,-,,
19,John Wraith,/john-wraith/10-1314/,John Wraith,65,1,6,10,40,60,"['Stamina', 'Agility', 'Longevity', 'Marksmanship', 'Reflexes', 'Stealth', 'Teleportation', 'Weapons Master', 'Psionic Powers']",Earth-616 - Prime Marvel Universe,John Wraith,,"Wolverine Vol 2 #60 (September, 1992)",Good,Male,"182.9 cm • 6'0""",88.5 kg • 195.11 lbs,Brown,Black
20,John Wraith,/john-wraith/10-47837/,,60,1,6,10,35,60,"['Stamina', 'Agility', 'Phasing', 'Reflexes', 'Stealth', 'Teleportation']",EMCU - Extended Marvel Cinematic Universe (2000-2019 Movies),,,,Good,Male,-,-,-,-
21,Johnathan Kimble,/johnathan-kimble/10-42297/,,0,0,0,0,0,0,,Regular Show,,,,,,-,-,,
22,Johnny,/johnny/10-32649/,,0,0,0,0,0,0,,Sin City,,,,,,-,-,,
