,name,href,identity,intelligence,strength,speed,durability,power,combat,powers,universe,full name,place of birth,first appearance,alignment,gender,height,weight,eye color,hair color
0,Katana,/katana/10-10107/,Tatsu Yamashiro,65,1,25,10,10,95,"['Acrobatics', 'Agility', 'Dexterity', 'Durability', 'Endurance', 'Marksmanship', 'Master Martial Artist', 'Peak Human Condition', 'Pressure Points', 'Reflexes', 'Stamina', 'Stealth', 'Weapon-based Powers', 'Weapons Master', 'Soul Manipulation', 'Summoning', 'Magic']",Prime Earth - Prime DC Comics Universe,Tatsu Toro,Japan,Birds of Prey Vol 3 #1,Good,Female,"157.5 cm • 5'2""",43.5 kg • 95.9 lbs,Brown,Black
1,Katana,/katana/10-15695/,Tatsu Yamashiro,0,0,0,0,0,0,,Arrowverse - DC Television Universe,Tatsu Yamashiro,Earth-1,Arrow Season 3: Episode 1,Good,Female,"170.2 cm • 5'7""",53.1 kg • 117.07 lbs,Brown,Brown
2,Katana,/katana/10-13966/,Tatsu Yamashiro,55,1,7,9,15,80,"['Acrobatics', 'Master Martial Artist', 'Peak Human Condition', 'Stamina', 'Stealth', 'Super Strength', 'Swordsmanship', 'Agility', 'Durability Negation', 'Marksmanship', 'Reflexes', 'Soul Manipulation']",DCEU - DC Extended Universe,Tatsu Yamashiro,"Tokyo, Japan",Suicide Squad,Good,Female,"165.1 cm • 5'5""",49.9 kg • 110.01 lbs,Black,Black
3,Katana,/katana/10-30579/,Tatsu Yamashiro,60,1,15,10,10,85,"['Durability', 'Endurance', 'Reflexes', 'Stamina', 'Stealth', 'Swordsmanship', 'Weapon-based Powers', 'Acrobatics', 'Agility', 'Marksmanship', 'Master Martial Artist', 'Soul Manipulation', 'Weapons Master']",DCSHG - DC Superhero Girls (2019- Tv Show),,,,Good,Female,-,-,Brown,Black
4,Katana,/katana/10-35896/,,0,0,0,0,0,0,,,,,,,,-,-,,
5,Katana,/katana/10-41915/,Tatsu Yamashiro,0,0,0,0,0,0,,Young Justice - Young Justice (2010- TV Series),,,,,,-,-,,
6,Katara,/katara/10-10818/,Katara,60,25,20,10,70,65,"['Agility', 'Cold Resistance', 'Cryokinesis', 'Durability', 'Element Control', 'Endurance', 'Stamina', 'Vitakinesis', 'Water Control', 'Dexterity', 'Force Fields', 'Plant Control', 'Blood Manipulation', 'Body Puppetry']",Avatar - Avatar: The Last Airbender(2005-2008) and The Legend of Korra(2012-2014),,Southern Water Tribe,"Avatar The Last Airbender: Season 1, Episode 1",Good,Female,"160 cm • 5'3""",49.9 kg • 110.01 lbs,Blue,Brown / Black
7,Katara (Full Moon),/katara-full-moon/10-22302/,Katara,60,25,25,10,75,65,"['Agility', 'Awakened Power', 'Blood Manipulation', 'Body Puppetry', 'Cold Resistance', 'Cryokinesis', 'Dexterity', 'Durability', 'Element Control', 'Force Fields', 'Plant Control', 'Reflexes', 'Stamina', 'Vitakinesis', 'Water Control', 'Stealth']",Avatar - Avatar: The Last Airbender(2005-2008) and The Legend of Korra(2012-2014),Katara,Water Tribe,"Avatar The Last Airbender: Season 1, Episode 1",Good,Female,"160 cm • 5'3""",49.9 kg • 110.01 lbs,Blue,Brown / Black
8,Katarin,/katarin/10-36741/,,0,0,0,0,0,0,,BloodRayne - BloodRayne,,,,,,-,-,,
9,Katarina,/katarina/10-24634/,Katarina Godliffe,0,0,0,0,0,0,,,,,,,,-,-,,
10,Katarina,/katarina/10-30534/,Katarina Alves,0,0,0,0,0,0,,Tekken - Tekken,,,,,,-,-,,
11,Katarina,/katarina/10-34688/,Katarina Du Couteau,65,8,8,10,15,85,"['Acrobatics', 'Dexterity', 'Disguise Mastery', 'Pain Suppression', 'Preparation', 'Stealth', 'Enhanced Condition', 'Gadget Usage', 'Grappling/Climbing', 'Information Analysis', 'Master Tactician', 'Toxin and Disease Resistance', 'Weapons Master', 'Endurance', 'Extrasensory Perception', 'Jump', 'Marksmanship', 'Status Effect Inducement', 'Toxin and Disease Control', 'Weapon-based Powers']",League Of Legends - League of Legends,,Noxus,,Neutral,Female,-,-,-,Red
12,Katarina Rostova,/katarina-rostova/10-38264/,Tatiana Petrova,60,1,6,10,0,65,"['Intelligence', 'Marksmanship', 'Master Martial Artist', 'Master Tactician', 'Weapons Master', 'Endurance', 'Indomitable Will', 'Information Analysis']",The Blacklist - The Blacklist,,Union of Soviet Socialist Republics,The Blacklist: Cape May (S3E19),-,Female,-,-,Blue,Red
13,Katarou,/katarou/10-26817/,,0,0,0,0,0,0,,Teen Titans - Teen Titans (2003-2006 TV Series),,,,,,-,-,,
14,Katō,/kat/10-45662/,,0,0,0,0,0,0,,Blood+,,,,,,-,-,,
15,Kate,/kate/10-37610/,,0,0,0,0,0,0,,,,,,,,-,-,,
16,Kate,/kate/10-49421/,,0,0,0,0,0,0,,Twilight - The Twilight Saga,,,,Good,Female,"168 cm • 5'6.1""",-,Red,Blond
17,Kate Bishop,/kate-bishop/10-24365/,,60,1,6,9,10,75,"['Agility', 'Durability', 'Intelligence', 'Marksmanship', 'Reflexes', 'Acrobatics', 'Endurance', 'Master Martial Artist', 'Stealth', 'Weapons Master', 'Berserk Mode', 'Disguise Mastery']",MCU - Marvel Cinematic Universe,,,Hawkeye Ep 1,Good,Female,-,-,-,Black
