,name,href,identity,intelligence,strength,speed,durability,power,combat,powers,universe,full name,place of birth,first appearance,alignment,gender,height,weight,eye color,hair color
0,Mister Bloom,/mister-bloom/10-13418/,,0,0,0,0,0,0,,Prime Earth - Prime DC Comics Universe,,,Batman Vol 2 #43,Bad,Male,-,-,,
1,Mister Bones,/mister-bones/10-30658/,Dr. Benjamin Love,70,25,6,40,20,50,"['Stamina', 'Super Strength', 'Endurance', 'Invisibility', 'Master Tactician', 'Toxin and Disease Control']",Prime Earth - Prime DC Comics Universe,Dr. Benjamin Love,,"Infinity Inc. #16 (July, 1985)",Neutral,-,-,-,No eyes,No Hair
2,Mister Camera,/mister-camera/10-11678/,Harry Sims,0,0,0,0,0,0,,Prime Earth - Prime DC Comics Universe,,,Batman #81,Bad,Male,-,-,,
3,Mister Coleman,/mister-coleman/10-39773/,,0,0,0,0,0,0,,Dorohedoro,,,,,,-,-,,
4,Mister Combustible,/mister-combustible/10-20593/,,0,0,0,0,0,0,,,,,,,,-,-,,
5,Mister Dark,/mister-dark/10-40182/,,90,75,100,100,100,50,"['Accelerated Healing', 'Acid Resistants', 'Banish', 'Bloodlust', 'Cold Resistance', 'Corruption Resistance', 'Creation', 'Curse Resistance', 'Dark Arts', 'Dark Magic', 'Darkforce Manipulation', 'Death Manipulation', 'Dimensional Awareness', 'Dimensional Travel', 'Duplication', 'Electricity Resistance', 'Energy Absorption', 'Energy Armor', 'Energy Blasts', 'Energy Manipulation', 'Energy Resistance', 'Enhanced Hearing', 'Enhanced Memory', 'Enhanced Sight', 'Existence Erasure', 'Existence Erasure Resistance', 'Extrasensory Perception', 'Fear Inducement', 'Fear Manipulation', 'Fire Resistance', 'Heat Generation', 'Heat Resistance', 'Hellfire Resistance', 'Higher Dimensional Manipulation', 'Immortality', 'Intelligence', 'Interstellar Travel', 'Mind Control', 'Necromancy', 'Nigh-Omnipresence', 'Pain Manipulation', 'Portal Creation', 'Power Nullifier', 'Projection', 'Radiation Immunity', 'Reality Warping Resistance', 'Regeneration', 'Shapeshifting', 'Soul Manipulation', 'Soul Resistance', 'Stamina', 'Summoning', 'Teleportation', 'Time Manipulation', 'Time Manipulation Resistance', 'Time Travel', 'Toxin and Disease Resistance', 'Age Manipulation', 'Agility', 'Causality Resistance', 'Clairvoyance Resistance', 'Cosmic Awareness', 'Death Touch', 'Dexterity', 'Endurance', 'Energy Beams', 'Energy Constructs', 'Holy Resistance', 'Illusion Resistance', 'Invisibility', 'Invulnerability', 'Levitation', 'Magic Resistance', 'Mind Blast', 'Mind Control Resistance', 'Mind Transfer', 'Power Modification', 'Precognition', 'Reality Warping', 'Reflexes', 'Resurrection', 'Sealing', 'Telekinesis', 'Telepathy', 'Telepathy Resistance']",Vertigo - Vertigo Universe,,,,Bad,Male,-,-,Yellow,Black
6,Mister E,/mister-e/10-23224/,Edward Leeds,0,0,0,0,0,0,,,,,,,,-,-,,
7,Mister E,/mister-e/10-23081/,Alistaire Smythe,60,25,25,25,50,65,"['Accelerated Healing', 'Camouflage', 'Durability', 'Reflexes', 'Stamina', 'Super Speed', 'Super Strength', 'Agility', 'Animation', 'Aura', 'Biokinesis', 'Cloaking', 'Cold Resistance', 'Dexterity', 'Endurance', 'Flight', 'Jump', 'Longevity', 'Marksmanship', 'Regeneration', 'Size Changing', 'Stealth', 'Toxin and Disease Resistance', 'Transformation', 'Venomous Bite', 'Vitakinesis', 'Wallcrawling', 'Weapon Creation', 'Web Creation', 'Invulnerability', 'Mind Control Resistance', 'Resurrection']",,,,"Marvel Spotlight Vol 2 #9 (November, 1980)",Bad,Other,-,-,Blue,No Hair
8,Mister Ecstasy,/mister-ecstasy/10-47678/,,0,0,0,0,0,0,,Vertigo - Vertigo Universe,,,,,,-,-,,
9,Mister Element,/mister-element/10-13379/,Alexander Petrov,0,0,0,0,0,0,,Prime Earth - Prime DC Comics Universe,,,,,,-,-,,
10,Mister Engine,/mister-engine/10-33271/,,0,0,0,0,0,0,,Sun-Ken Rock,,,,,,-,-,,
11,Mister Fantastic,/mister-fantastic/10-408/,Reed Richards,95,25,25,60,75,65,"['Agility', 'Density Control', 'Dexterity', 'Durability', 'Elasticity', 'Indomitable Will', 'Information Analysis', 'Intelligence', 'Master Tactician', 'Peak Human Condition', 'Preparation', 'Stamina', 'Super Speed', 'Super Strength', 'Acrobatics', 'Adaptation', 'Cosmic Awareness', 'Danger Sense', 'Dimensional Awareness', 'Electricity Resistance', 'Endurance', 'Enhanced Condition', 'Enhanced Hearing', 'Enhanced Memory', 'Enhanced Sight', 'Gadget Usage', 'Gliding', 'Grappling/Climbing', 'Heat Resistance', 'Invulnerability', 'Jump', 'Marksmanship', 'Master Martial Artist', 'Natural Armor', 'Pressure Points', 'Reflexes', 'Shapeshifting', 'Size Changing', 'Stealth', 'Super Breath', 'Supernatural Condition', 'Transformation', 'Vehicular Mastery', 'Weapons Master', 'Attack Reflection', 'Energy Resistance', 'Hypnokinesis', 'Omnilingualism', 'Wind Control']",Earth-616 - Prime Marvel Universe,Reed Richards,"Central City, California",FANTASTIC FOUR #1,Good,Male,"185.4 cm • 6'1""",81.6 kg • 179.9 lbs,Brown,Brown
12,Mister Fantastic,/mister-fantastic/10-14290/,Reed Richards,90,13,11,30,50,40,"['Durability', 'Intelligence', 'Elasticity', 'Master Tactician', 'Reflexes', 'Invulnerability', 'Power Absorption', 'Power Bestowal']",EMCU - Extended Marvel Cinematic Universe (2000-2019 Movies),Reed Richards,Manhattan,Fantastic four,Good,Male,"177.8 cm • 5'10""",89.8 kg • 197.98 lbs,Brown,Black
13,Mister Fantastic,/mister-fantastic/10-24987/,Reed Richards,0,0,0,0,0,0,,MCOC - Marvel Contest of Champions,,,,,,-,-,,
14,Mister Fantastic,/mister-fantastic/10-33102/,Reed Richards,0,0,0,0,0,0,,Earth-3490,,,,,,-,-,,
15,Mister Fantastic,/mister-fantastic/10-35314/,Reed Richards,0,0,0,0,0,0,,Earth-8096 - The Avengers: Earth's Mightiest Heroes (2010-1013 TV Series),,,,Good,Male,-,-,-,Brown
16,Mister Fantastic,/mister-fantastic/10-35382/,Reed Richards,0,0,0,0,0,0,,Earth-8096,,,Fantastic Four: World's Greatest Heroes Season 1 Episode 1,Good,Male,-,-,Brown,Black
17,Mister Fantastic,/mister-fantastic/10-35563/,Reed Richards,0,0,0,0,0,0,,Earth-19121 - Marvel Zombies: Resurrection,,,,,,-,-,,
18,Mister Fantastic,/mister-fantastic/10-35692/,Reed Richards,0,0,0,0,0,0,,Earth-12 - Earth-Mimic,,,,,,-,-,,
19,Mister Fantastic,/mister-fantastic/10-38605/,Reed Richards,0,0,0,0,0,0,,Earth-155,,,,,,-,-,,
