,name,href,identity,intelligence,strength,speed,durability,power,combat,powers,full name,place of birth,first appearance,alignment,universe,gender,height,weight,eye color,hair color
0,Trouble,/trouble/10-21174/,,0,0,0,0,0,0,,,,,,,,-,-,,
1,Troublemaker,/troublemaker/10-45437/,,0,0,0,0,0,0,,,,,,Earth-616 - Prime Marvel Universe,,-,-,,
2,Trox,/trox/10-38891/,,0,0,0,0,0,0,,,,,,Bakugan,,-,-,,
3,Troy,/troy/10-37521/,Troy West,0,0,0,0,0,0,,,,,,,,-,-,,
4,Tru'nembra,/trunembra/10-36530/,Tru'nembra,100,100,100,100,100,100,"['Nigh-Omnipotence', 'Nigh-Omniscience', 'Omnipresence']",,,,,,,-,-,,
5,Trudgen,/trudgen/10-24888/,Trudgen,60,13,8,15,5,65,"['Stamina', 'Super Strength', 'Acrobatics', 'Agility', 'Endurance', 'Marksmanship', 'Stealth', 'Weapons Master', 'Master Martial Artist']",,,Star Wars The Force Awakens,Bad,Star Wars - Star Wars Universe,Male,-,-,-,-
6,Truffles,/truffles/10-1233/,,0,0,0,0,0,0,,,,,,,,-,-,,
7,Trump,/trump/10-40316/,Carlton Sanders,0,0,0,0,0,0,,,,,,Earth-616 - Prime Marvel Universe,,-,-,,
8,Trumpet,/trumpet/10-47517/,Koku Hanabata,0,0,0,0,0,0,,,,,,MHA - My Hero Academia,,-,-,,
9,Trundle,/trundle/10-44469/,Trundle,55,30,8,20,30,60,"['Accelerated Healing', 'Cold Resistance', 'Cryokinesis', 'Endurance', 'Jaw Strength', 'Weapon-based Powers', 'Animal Attributes', 'Berserk Mode', 'Enhanced Smell', 'Grappling/Climbing', 'Hunters Instinct', 'Natural Armor', 'Natural Weapons', 'Reflexes', 'Agility', 'Durability Negation', 'Indestructible Digestion', 'Jump', 'Large Size', 'Longevity', 'Magic', 'Master Tactician', 'Preparation', 'Regeneration', 'Status Effect Inducement', 'Toxin and Disease Resistance', 'Weapons Master']",,"Frost-Troll Village, Freljord","December 1, 2010 (League of Legends)",Bad,League Of Legends - League of Legends,Male,-,-,-,Red
10,Trunk,/trunk/10-46209/,,0,0,0,0,0,0,,,,,,KA&KoJ - King Arthur and the Knights of Justice,,-,-,,
11,Trunks,/trunks/10-1210/,Trunks,60,100,70,75,45,85,"['Accelerated Development', 'Acrobatics', 'Agility', 'Chi Manipulation', 'Danmaku', 'Dexterity', 'Durability', 'Energy Beams', 'Energy Blasts', 'Energy Manipulation', 'Flight', 'Jump', 'Latent Abilities', 'Marksmanship', 'Super Speed', 'Super Strength', 'Vaporising Beams', 'Adaptation', 'Aura', 'Berserk Mode', 'Bullet Time', 'Clairvoyance', 'Clairvoyance Resistance', 'Electricity Resistance', 'Emotional Power Up', 'Enhanced Condition', 'Explosion Manipulation', 'Extrasensory Perception', 'Fire Resistance', 'Heat Generation', 'Heat Resistance', 'Invulnerability', 'Light Control', 'Master Martial Artist', 'Power Augmentation', 'Power Sense', 'Radar Sense', 'Rage Power', 'Reactive Power Level', 'Reflexes', 'Seismic Power', 'Shockwaves Generation', 'Statistics Amplification', 'Accelerated Healing', 'Fusion', 'Longevity', 'Reactive Evolution', 'Transformation']",,,Dragon Ball Z: Buu Saga,Good,DB - Dragon Ball Verse,Male,-,-,-,Purple
