,name,href,identity,intelligence,strength,speed,durability,power,combat,powers,full name,place of birth,first appearance,alignment,universe,gender,height,weight,eye color,hair color
0,Haruichi Izumo,/haruichi-izumo/10-33250/,,0,0,0,0,0,0,,,,,,,,-,-,,
1,Haruka,/haruka/10-43187/,,0,0,0,0,0,0,,,,,,Senran Kagura - Senran Kagura,,-,-,,
2,Haruka Kaminogi,/haruka-kaminogi/10-20040/,Haruka Kaminogi,100,100,100,100,100,20,"['Accelerated Development', 'Age Manipulation', 'Agility', 'Anti-Gravity', 'Antimatter Manipulation', 'Astral Travel', 'Awakened Power', 'Biokinesis', 'Chaos Manipulation', 'Creation', 'Deconstruction', 'Dexterity', 'Dimension Storage', 'Dimensional Awareness', 'Dimensional Travel', 'Durability', 'Element Control', 'Elemental Transmogrification', 'Empathy', 'Endurance', 'Energy Absorption', 'Energy Armor', 'Energy Beams', 'Energy Constructs', 'Energy Manipulation', 'Higher Dimensional Manipulation', 'Hyperkinesis', 'Immortality', 'Intangibility', 'Intelligence', 'Interstellar Travel', 'Life Manipulation', 'Light Control', 'Molecular Dissipation', 'Molecular Immobilization', 'Molecular Manipulation', 'Nigh-Omnipresence', 'Nigh-Omniscience', 'Quantum Manipulation', 'Reality Warping', 'Reflexes', 'Regeneration', 'Resurrection', 'Substance Secretion', 'Super Strength', 'Telepathy', 'Time Manipulation', 'Time Travel', 'Vitakinesis', 'Animation', 'Death Touch', 'Hypnokinesis', 'Invulnerability', 'Non-Physical Interaction', 'Power Sense']",,"Hakodate, Japan",,Good,,Female,-,-,Purple,Black
3,Haruka Ouma,/haruka-ouma/10-41530/,,0,0,0,0,0,0,,,,,,Guilty Crown - Guilty Crown Universe,,-,-,,
4,Haruko,/haruko/10-38985/,,0,0,0,0,0,0,,,,,,Hell Girl,,-,-,,
5,Harumi,/harumi/10-16528/,Harumi,0,0,0,0,0,0,,,Ninjago,The Mask of Deception /70643 Temple of Resurrection,Bad,,Female,"157.5 cm • 5'2""",44.9 kg • 98.99 lbs,Black,White
6,Harumi Kanno,/harumi-kanno/10-38929/,,0,0,0,0,0,0,,,,,,Hell Girl,,-,-,,
7,Haruno Yanagi,/haruno-yanagi/10-44255/,,0,0,0,0,0,0,,,,,,Blood-C,,-,-,,
8,Haruta Shigemo,/haruta-shigemo/10-43936/,,0,0,0,0,0,0,,,,,,Jujutsu Kaisen Universe - Jujutsu Kaisen,,-,-,,
9,Harvest,/harvest/10-23014/,Harvest,0,0,0,0,0,0,,,,,,,,-,-,,
10,Harvest,/harvest/10-22889/,,0,0,0,0,0,0,,,,"Teen Titans Vol 4 #7 (May, 2012)",Bad,Prime Earth - Prime DC Comics Universe,Male,-,-,No eyes,No Hair
11,Harvester,/harvester/10-25592/,,70,30,17,25,45,40,"['Durability', 'Intelligence', 'Stamina', 'Super Speed', 'Super Strength', 'Cold Resistance', 'Endurance', 'Energy Blasts', 'Energy Resistance', 'Jump', 'Radiation Immunity', 'Reflexes', 'Toxin and Disease Resistance', 'Weapon-based Powers', 'Aura', 'Dexterity', 'Stealth']",,,Terminator Salvation,Bad,,-,-,-,-,-
12,Harvester Queen,/harvester-queen/10-22001/,Harvester Queen,90,45,20,35,60,65,"['Durability', 'Endurance', 'Force Fields', 'Intelligence', 'Longevity', 'Stamina', 'Super Speed', 'Super Strength', 'Weapon-based Powers', 'Agility', 'Cold Resistance', 'Dexterity', 'Energy Blasts', 'Energy Resistance', 'Fire Resistance', 'Heat Resistance', 'Jump', 'Master Tactician', 'Natural Armor', 'Reflexes', 'Vision - Infrared', 'Vision - Night', 'Weapons Master', 'Invulnerability', 'Marksmanship', 'Toxin and Disease Resistance']",,,Independence Day: Resurgence (Movie),Bad,,Female,-,-,,
