,name,href,identity,intelligence,strength,speed,durability,power,combat,powers,universe,full name,place of birth,first appearance,alignment,gender,height,weight,eye color,hair color
0,Black Axe,/black-axe/10-242/,,0,0,0,0,0,0,,Earth-616 - Prime Marvel Universe,,,,Good,,-,-,,
1,Black Bat,/black-bat/10-13434/,Cassandra Cain,0,0,0,0,0,0,,Prime Earth - Prime DC Comics Universe,Cassandra Cain Wayne,,Batman #567,Good,Female,"165.1 cm • 5'5""",49.9 kg • 110.01 lbs,Brown,Black
2,Black Bat,/black-bat/10-20737/,Anthony Quinn,0,0,0,0,0,0,,,,,,,,-,-,,
3,Black Bat,/black-bat/10-35359/,Barbara Hardy,0,0,0,0,0,0,,,,,,,,-,-,,
4,Black Battler,/black-battler/10-42440/,Black Battler,90,100,100,100,100,85,"['Nigh-Omnipotence', 'Nigh-Omnipresence']",Umineko Verse - Umineko When They Cry,,,,,,-,-,,
5,Black Beetle,/black-beetle/10-10054/,,0,0,0,0,0,0,,Prime Earth - Prime DC Comics Universe,,,Booster Gold Vol 2 #5,Bad,Male,-,-,,
6,Black Beetle,/black-beetle/10-43833/,,65,30,25,45,80,70,"['Adaptation', 'Durability', 'Power Suit', 'Super Strength', 'Transformation', 'Accelerated Healing', 'Technopath/Cyberpath']",Young Justice - Young Justice (2010- TV Series),,,,Bad,Male,-,-,-,No Hair
7,Black Betty,/black-betty/10-21281/,Elisabeth Rowan,0,0,0,0,0,0,,Earth-50 - Wildstorm Universe,,,,,,-,-,,
8,Black Betty,/black-betty/10-37893/,Betty Walker,0,0,0,0,0,0,,Action Lab - Action Lab,,,,,,-,-,,
9,Black Bishop,/black-bishop/10-25354/,Shinobi Shaw,0,0,0,0,0,0,,Earth-616 - Prime Marvel Universe,,,,,,-,-,,
10,Black Bison,/black-bison/10-17904/,Mina Chayton,0,0,0,0,0,0,,Prime Earth - Prime DC Comics Universe,,,,,,-,-,,
11,Black Bison,/black-bison/10-25720/,John Ravenhair,0,0,0,0,0,0,,Prime Earth - Prime DC Comics Universe,,,,Bad,Male,"190.5 cm • 6'3""",103 kg • 227.08 lbs,Brown,Black
