,name,href,identity,intelligence,strength,speed,durability,power,combat,powers,full name,place of birth,first appearance,alignment,universe,gender,height,weight,eye color,hair color
0,Metal,/metal/10-11867/,Metal Sonic,100,75,100,75,100,75,"['Acausality', 'Accelerated Development', 'Accelerated Healing', 'Acrobatics', 'Adaptation', 'Agility', 'Astral Trap', 'Berserk Mode', 'Bionics', 'Black Hole Manipulation', 'Bloodlust', 'Bullet Time', 'Changing Armor', 'Chaos Magic', 'Chaos Manipulation', 'Clairvoyance', 'Clairvoyance Resistance', 'Cold Resistance', 'Corruption', 'Cyborgization', 'Damage Boost', 'Damage Reduction', 'Damage Transferal', 'Danger Sense', 'Density Control', 'Dexterity', 'Durability', 'Durability Negation', 'Electrical Transport', 'Electricity Absorption', 'Electricity Resistance', 'Electrokinesis', 'Element Control', 'EMP Generation', 'Empathy', 'Endurance', 'Energy Absorption', 'Energy Armor', 'Energy Beams', 'Energy Blasts', 'Energy Constructs', 'Energy Embodiment', 'Energy Manipulation', 'Energy Resistance', 'Enhanced Hearing', 'Enhanced Memory', 'Enhanced Smell', 'Enhanced Thievery', 'Fire Control', 'Fire Resistance', 'Flight', 'Force Fields', 'Force Speed', 'Gliding', 'Gravity Control', 'Hacking', 'Heat Generation', 'Heat Resistance', 'Higher Dimensional Manipulation', 'Homing Attack', 'Illumination', 'Illusion Resistance', 'Illusions', 'Immortality Negation', 'Indomitable Will', 'Intelligence', 'Interstellar Travel', 'Intuitive aptitude', 'Invisibility', 'Invulnerability', 'Jump', 'Laser Manipulation', 'Levitation', 'Longevity', 'Magic Absorption', 'Magic Resistance', 'Magnetism', 'Marksmanship', 'Master Martial Artist', 'Mechanical Aptitude', 'Memory Manipulation', 'Metal Manipulation', 'Metaphysics Manipulation', 'Mind Blast', 'Mind Control Resistance', 'Natural Armor', 'Natural Weapons', 'Neon Blasts', 'Pain Suppression', 'Peak Human Condition', 'Photographic Reflexes', 'Power Augmentation', 'Power Mimicry', 'Power Mimicry Immunity', 'Pressure Points', 'Radiation Immunity', 'Reactive Power Level', 'Reality Warping', 'Reality Warping Resistance', 'Reflexes', 'Regeneration', 'Resurrection', 'Self-Destruction', 'Self-Sustenance', 'Shockwaves Generation', 'Spaceflight', 'Spatial Communication', 'Stamina', 'Super Speed', 'Super Strength', 'Technopath/Cyberpath', 'Telepathy Resistance', 'Time Manipulation', 'Time Manipulation Resistance', 'Toxin and Disease Control', 'Toxin and Disease Resistance', 'Underwater breathing', 'Vaporising Beams', 'Vision - Heat', 'Vision - Infrared', 'Vision - Microscopic', 'Vision - Night', 'Vision - Telescopic', 'Vision - Thermal', 'Vision - X-Ray', 'Wind Control', 'Afterimage Creation', 'Animal Attributes', 'Causality Resistance', 'Corruption Resistance', 'Cosmic Awareness', 'Dimensional Awareness', 'Dimensional Travel', 'Enhanced Condition', 'Fate Resistance', 'Grappling/Climbing', 'Immortality', 'Indestructible Digestion', 'Information Analysis', 'Insanity', 'Magma Manipulation', 'Master Tactician', 'Molecular Combustion', 'Non-Physical Interaction', 'Plasma Manipulation', 'Plot Manipulation', 'Portal Creation', 'Possession Resistance', 'Power Absorption', 'Power Modification', 'Power Suit', 'Precognition', 'Preparation', 'Radar Sense', 'Radiation Absorption', 'Radiation Control', 'Robotic Engineering', 'Sonic Scream', 'Soul Resistance', 'Sound Manipulation', 'Stealth', 'Super Breath', 'Technological Possession', 'Time Travel', 'Vision - Cryo', 'Weapon Creation', 'Weapon Summoning', 'Weapon-based Powers', 'Weapons Master', 'Wallcrawling']",,,,,,,-,-,,
1,Metal Bat,/metal-bat/10-18585/,Baddo,60,45,50,35,40,75,"['Acrobatics', 'Agility', 'Berserk Mode', 'Bloodlust', 'Dexterity', 'Emotional Power Up', 'Endurance', 'Indomitable Will', 'Jump', 'Rage Power', 'Reflexes', 'Stamina', 'Statistics Amplification', 'Weapons Master', 'Accelerated Healing', 'Cold Resistance', 'Enhanced Hearing', 'Enhanced Memory', 'Fire Resistance', 'Heat Resistance', 'Invulnerability', 'Master Martial Artist', 'Master Tactician', 'Mind Control Resistance', 'Toxin and Disease Resistance', 'Regeneration']",,,,,OPM - One Punch Man,,-,-,,
2,Metal Bowser,/metal-bowser/10-16201/,King Bowser Koopa,0,0,0,0,0,0,,,,,,Mario,,-,-,,
3,Metal Cooler,/metal-cooler/10-21603/,Cooler,85,100,100,100,95,100,"['Ability Shift', 'Accelerated Development', 'Accelerated Healing', 'Acrobatics', 'Afterimage Creation', 'Agility', 'Aura', 'Bullet Time', 'Cold Resistance', 'Danmaku', 'Dexterity', 'Durability', 'Endurance', 'Energy Beams', 'Energy Blasts', 'Energy Manipulation', 'Enhanced Condition', 'Fire Resistance', 'Flight', 'Heat Generation', 'Information Analysis', 'Intelligence', 'Invulnerability', 'Jump', 'Longevity', 'Marksmanship', 'Master Martial Artist', 'Master Tactician', 'Natural Armor', 'Natural Weapons', 'Peak Human Condition', 'Power Sense', 'Radar Sense', 'Radiation Immunity', 'Reflexes', 'Regeneration', 'Robotic Engineering', 'Stamina', 'Super Speed', 'Super Strength', 'Telekinesis', 'Teleportation', 'Terrakinesis', 'Toxin and Disease Resistance', 'Vaporising Beams', 'Divine Powers', 'Energy Constructs', 'Energy Resistance', 'Enhanced Hearing', 'Enhanced Memory', 'Enhanced Sight', 'Enhanced Smell', 'Heat Resistance', 'Immortality', 'Indomitable Will', 'Latent Abilities', 'Levitation', 'Light Control', 'Self-Sustenance', 'Swordsmanship', 'Transformation', 'Vision - Infrared', 'Vision - Microscopic', 'Vision - Night', 'Vision - Telescopic', 'Vision - Thermal', 'Vision - X-Ray', 'Weapon Creation', 'Weapon-based Powers', 'Weapons Master', 'Wind Control', 'Resurrection']",,,,Bad,Xenoverse - Dragon Ball Xenoverse,Male,-,-,,
4,Metal Devil,/metal-devil/10-45594/,,0,0,0,0,0,0,,,,,,Horizon - Horizon Game Universe,,-,-,,
5,Metal Elementor,/metal-elementor/10-36753/,Metallak,70,30,14,35,70,50,"['Durability', 'Intelligence', 'Metal Manipulation', 'Stamina', 'Super Strength', 'Endurance', 'Weapon Creation', 'Liquid Transmutation', 'Shapeshifting']",,,Max Steel S02E05 - Full Metal Racket,Bad,Max Steel - Max Steel (2013-2017 series),Male,-,-,Red,No Hair
6,Metal Knight,/metal-knight/10-30022/,Bofoy,0,0,0,0,0,0,,,,,,OPM - One Punch Man,,-,-,,
7,Metal Knuckles,/metal-knuckles/10-28236/,Metal Knuckles,90,25,25,90,60,95,"['Acrobatics', 'Adaptation', 'Animal Attributes', 'Animal Oriented Powers', 'Berserk Mode', 'Corruption Resistance', 'Cyborgization', 'Dexterity', 'Durability', 'Enhanced Memory', 'Enhanced Sight', 'Gliding', 'Hacking', 'Homing Attack', 'Information Analysis', 'Intelligence', 'Invulnerability', 'Jump', 'Master Martial Artist', 'Master Tactician', 'Metal Manipulation', 'Nanotechnology', 'Natural Weapons', 'Peak Human Condition', 'Possession Resistance', 'Power Sense', 'Power Suit', 'Radiation Immunity', 'Soul Resistance', 'Spaceflight', 'Stamina', 'Statistics Amplification', 'Super Speed', 'Super Strength', 'Technological Possession', 'Technopath/Cyberpath', 'Toon Force', 'Toxin and Disease Resistance', 'Vision - Heat', 'Vision - Infrared', 'Vision - Microscopic', 'Vision - Night', 'Vision - Telescopic', 'Vision - Thermal', 'Weapons Master', 'Wind Control', 'Accelerated Development', 'Information Manipulation', 'Mathematics Manipulation', 'Natural Armor', 'Pressure Points', 'Reflexes', 'Self-Sustenance', 'Stealth', 'Underwater breathing', 'Chaos Energy', 'Chi Manipulation', 'Enhanced Condition']",,,,,Sonic,,-,-,,
8,Metal Madness,/metal-madness/10-16203/,Metal Sonic,0,0,0,0,0,0,,,,,,,,-,-,,
9,Metal Master,/metal-master/10-26148/,Molyb,0,0,0,0,0,0,,,,,,,,-,-,,
10,Metal Men (Fusion),/metal-men-fusion/10-46999/,,0,0,0,0,0,0,,,,,,GAM - Justice League: Gods and Monsters,,-,-,,
11,Metal Overlord,/metal-overlord/10-16202/,Metal Sonic,0,0,0,0,0,0,,,,,,,,-,-,,
12,Metal Scourge,/metal-scourge/10-28619/,Metal Scourge,0,0,0,0,0,0,,,,,,Sonic,,-,-,,
