,name,href,identity,intelligence,strength,speed,durability,power,combat,powers,full name,place of birth,first appearance,alignment,universe,gender,height,weight,eye color,hair color
0,Tony Twist,/tony-twist/10-1086/,,0,0,0,0,0,0,,,,,Bad,,Male,-,-,,
1,Tooame,/tooame/10-36458/,,0,0,0,0,0,0,,,,,,Kakegurui,,-,-,,
2,Toodie,/toodie/10-37142/,,0,0,0,0,0,0,,,,,,Camp Lazlo - Camp Lazlo,,-,-,,
3,Tooe Gaen,/tooe-gaen/10-43432/,,0,0,0,0,0,0,,,,,,Monogatari - Monogatari Universe,,-,-,,
4,Tooga Yagari,/tooga-yagari/10-45969/,Tooga Yagari,0,0,0,0,0,0,,,,Manga: Vampire Knight - Chapter #7,Good,Vampire Knight - Vampire Knight Universe,Male,"195 cm • 6'4.8""",-,Blue,-
5,Toolshed,/toolshed/10-10612/,,0,0,0,0,0,0,,,,,Good,,Male,-,-,,
6,Toomler,/toomler/10-44215/,Toomler,95,100,100,100,100,85,"['Ability Shift', 'Accelerated Development', 'Accelerated Healing', 'Acrobatics', 'Adaptation', 'Afterimage Creation', 'Age Manipulation', 'Agility', 'Amber', 'Amphibious Respiration', 'Animal Attributes', 'Animal Oriented Powers', 'Animated Shadow', 'Anti-Gravity', 'Apathy', 'Attack Negation', 'Attack Reflection', 'Aura', 'Avatar Creation', 'Berserk Mode', 'Biokinesis', 'Black Hole Manipulation', 'Blessed', 'Blood Manipulation', 'Bloodlust', 'Body Puppetry', 'Bone Manipulation', 'Camouflage', 'Causality Manipulation', 'Causality Resistance', 'Chaos Manipulation', 'Clairvoyance', 'Clairvoyance Resistance', 'Cold Resistance', 'Conceptual Manipulation', 'Corruption', 'Corruption Resistance', 'Cosmic Awareness', 'Curse Manipulation', 'Curse Resistance', 'Damage Boost', 'Damage Reduction', 'Damage Transferal', 'Danger Sense', 'Dark Magic', 'Dark Matter Manipulation', 'Darkforce Manipulation', 'Data Manipulation', 'Death Manipulation', 'Death Touch', 'Decay Embodiment', 'Demon Physiology', 'Dexterity', 'Dimension Storage', 'Dimensional Awareness', 'Dimensional Travel', 'Disguise Resistance', 'Dream Manipulation', 'Duplication', 'Durability', 'Durability Negation', 'Elasticity', 'Electricity Resistance', 'Element Control', 'Emotional Power Up', 'Empathy', 'Endurance', 'Energy Resistance', 'Enhanced Condition', 'Enhanced Hearing', 'Enhanced Memory', 'Enhanced Sight', 'Enhanced Smell', 'Enhanced Touch', 'Existence Erasure', 'Existence Erasure Resistance', 'Extrasensory Perception', 'Fate Manipulation', 'Fate Resistance', 'Fear Inducement', 'Fear Manipulation', 'Fire Resistance', 'Fusion', 'Godly Physiology', 'Gravity Control', 'Greed Inducement', 'Heat Generation', 'Heat Resistance', 'Hellfire Resistance', 'Higher Dimensional Manipulation', 'Hyperkinesis', 'Hypnokinesis', 'Illusion Resistance', 'Illusions', 'Immortality Negation', 'Indomitable Will', 'Information Analysis', 'Information Manipulation', 'Instinctive Reaction', 'Intangibility', 'Intelligence', 'Intuitive aptitude', 'Invulnerability', 'Jump', 'Latent Abilities', 'Levitation', 'Life Manipulation', 'Longevity', 'Madness Manipulation', 'Magic', 'Magic Resistance', 'Matter Manipulation', 'Memory Manipulation', 'Mind Control', 'Mind Control Resistance', 'Mind Transfer', 'Molecular Manipulation', 'Multiple Limbs', 'Multiple Personalities', 'Natural Weapons', 'Necromancy', 'Non-Corporeal', 'Non-Physical Interaction', 'Ocular Techniques', 'Omni-Sense', 'Pain Manipulation', 'Pain Suppression', 'Paralysis', 'Perfect Recollection', 'Photographic Reflexes', 'Physical Anomaly', 'Physics Manipulation', 'Pocket Dimensions', 'Portal Creation', 'Possession', 'Possession Resistance', 'Power Absorption', 'Power Bestowal', 'Power Mimicry', 'Power Nullifier', 'Power Sense', 'Precognition', 'Preparation', 'Pressure Points', 'Psionic Powers', 'Quantum Manipulation', 'Radiation Immunity', 'Rage Inducement', 'Rage Power', 'Reactive Evolution', 'Reactive Power Level', 'Reality Warping', 'Reality Warping Resistance', 'Reflexes', 'Regeneration Negation', 'Resurrection', 'Seismic Power', 'Sense Manipulation', 'Separation', 'Shadow Manipulation', 'Shapeshifting', 'Shockwaves Generation', 'Sleep Manipulation', 'Social Influencing', 'Soul Manipulation', 'Soul Resistance', 'Sound Manipulation', 'Spatial Awareness', 'Spatial Communication', 'Spatial Manipulation', 'Stamina', 'Statistics Amplification', 'Statistics Reduction', 'Status Effect Inducement', 'Stealth', 'Subatomic Manipulation', 'Subjective Reality', 'Summoning', 'Super Speed', 'Super Strength', 'Supernatural Condition', 'Telekinesis', 'Telepathy', 'Telepathy Resistance', 'Teleportation', 'Time Manipulation', 'Time Manipulation Resistance', 'Toxin and Disease Control', 'Toxin and Disease Resistance', 'Umbrakinesis', 'Underwater breathing', 'Unholy Manipulation', 'Unholy Resistance', 'Vibration Manipulation', 'Vision - Microscopic', 'Vision - Night', 'Vision - Telescopic', 'Vitakinesis', 'Void Manipulation', 'Wallcrawling', 'Weapon Creation', 'Weapon-based Powers', 'Weapons Master', 'Weather Control', 'Wind Control', 'Acausality', 'Acid Resistants', 'Animal Control', 'Antimatter Manipulation', 'Astral Projection', 'Astral Travel', 'Awakened Power', 'Body Inflation', 'Disguise Mastery', 'Electricity Absorption', 'Energy Absorption', 'Energy Embodiment', 'Energy Manipulation', 'Explosion Manipulation', 'Fire Control', 'Flight', 'Force Fields', 'Hellfire Manipulation', 'Holy Resistance', 'Hope Inducement', 'Immortality', 'Inorganic Physiology', 'Invisibility', 'Large Size', 'Liquid Transmutation', 'Magic Absorption', 'Master Martial Artist', 'Matter Absorption', 'Molecular Immobilization', 'Morality Manipulation', 'Nothingness Aspect Manifestation', 'Omnilingualism', 'Orbing', 'Phasing', 'Probability Manipulation', 'Projection', 'Psychometry', 'Radiation Absorption', 'Regeneration', 'Salvation', 'Self-Sustenance', 'Smoke Manipulation', 'Surface Scaling', 'Terrakinesis', 'Transformation', 'Vision - Infrared', 'Vision - X-Ray', 'Water Control', 'Weapon Summoning']",,,,,WOD - World of Darkness,,-,-,,
7,Toon Link,/toon-link/10-20300/,Link,0,0,0,0,0,0,,,hyrule,,Good,Zelda - The Legend of Zelda Universe,Male,-,-,Black,Blond
8,ToonMan,/toonman/10-10673/,,0,0,0,0,0,0,,,,,,Earth-616 - Prime Marvel Universe,,-,-,,
9,Tooru,/tooru/10-25345/,,0,0,0,0,0,0,,,,,,JJBA - JoJo's Bizarre Adventure,,-,-,,
