,name,href,identity,intelligence,strength,speed,durability,power,combat,powers,universe,full name,place of birth,first appearance,alignment,gender,height,weight,eye color,hair color
0,Darkseid,/darkseid/10-24149/,Uxas,0,0,0,0,0,0,,BTBATB - Batman: The Brave and the Bold,,,batman the brave and the bold season 2 episode 24,Bad,Male,-,-,Red,No Hair
1,Darkseid,/darkseid/10-26121/,Uxas,100,100,100,100,100,100,"['Accelerated Healing', 'Adaptation', 'Agility', 'Astral Trap', 'Astral Travel', 'Aura', 'Avatar Creation', 'Banish', 'Bullet Time', 'Chaos Manipulation', 'Corruption', 'Cosmic Awareness', 'Danger Sense', 'Death Manipulation', 'Death Touch', 'Dimension Storage', 'Dimensional Awareness', 'Dimensional Travel', 'Energy Absorption', 'Energy Beams', 'Energy Blasts', 'Energy Manipulation', 'Energy Resistance', 'Existence Erasure', 'Omega Effect', 'Omega Sanction', 'Power Absorption', 'Reality Warping Resistance', 'Resurrection', 'Shockwaves Generation', 'Size Changing', 'Spaceflight', 'Super Speed', 'Super Strength', 'Time Manipulation Resistance', 'Time Travel', 'Toxin and Disease Resistance', 'Changing Armor', 'Cloning', 'Corruption Resistance', 'Creation', 'Divine Powers', 'EMP Generation', 'Energy Armor', 'Existence Erasure Resistance', 'Power Augmentation', 'Regeneration', 'Sealing', 'Soul Manipulation', 'Soul Resistance', 'Summoning', 'Super Breath', 'Time Manipulation', 'Toxin and Disease Control', 'Willpower Manipulation']",FS - Future State,,,,,,-,-,,
2,Darkseid,/darkseid/10-35665/,,0,0,0,0,0,0,,Earth-1198 - Dark Side,,,,,,-,-,,
3,Darkseid,/darkseid/10-38537/,Uxas,90,100,75,55,75,90,"['Accelerated Healing', 'Agility', 'Cold Resistance', 'Dexterity', 'Durability', 'Endurance', 'Energy Absorption', 'Energy Beams', 'Energy Manipulation', 'Energy Resistance', 'Enhanced Hearing', 'Enhanced Memory', 'Enhanced Sight', 'Enhanced Touch', 'Fire Resistance', 'Flight', 'Godly Physiology', 'Heat Resistance', 'Immortality', 'Intelligence', 'Invulnerability', 'Levitation', 'Longevity', 'Master Martial Artist', 'Master Tactician', 'Omega Effect', 'Omega Sanction', 'Projection', 'Reflexes', 'Regeneration', 'Resurrection', 'Spaceflight', 'Stamina', 'Super Speed', 'Super Strength', 'Telepathy', 'Vehicular Mastery', 'Weapons Master', 'Acid Resistants', 'Berserk Mode', 'Clairvoyance Resistance', 'Dimensional Travel', 'Electricity Resistance', 'Enhanced Smell', 'Existence Erasure', 'Illusion Resistance', 'Illusions', 'Interstellar Travel', 'Portal Creation', 'Rage Power', 'Sealing', 'Telepathy Resistance']",DCUAOM - DC Universe Animated Original Movies,,,Justice League: War,Bad,Male,-,-,Red,None
4,Darkseid,/darkseid/10-41917/,Uxas,0,0,0,0,0,0,,Young Justice - Young Justice (2010- TV Series),,,,,,-,-,,
5,Darkseid (Another Nail),/darkseid-another-nail/10-23592/,Uxas,0,0,0,0,0,0,,,,,,,,-,-,,
6,Darkseid (Anti-Life Equation),/darkseid-anti-life-equation/10-14447/,Uxas,100,100,100,100,100,100,"['Accelerated Healing', 'Animated Shadow', 'Antimatter Manipulation', 'Astral Projection', 'Astral Trap', 'Astral Travel', 'Audio Control', 'Avatar Creation', 'Black Hole Manipulation', 'Cloning', 'Corruption', 'Corruption Resistance', 'Cosmic Awareness', 'Creation', 'Death Manipulation', 'Death Touch', 'Dimension Storage', 'Dimensional Awareness', 'Dimensional Travel', 'Divine Powers', 'Dream Manipulation', 'Duplication', 'Durability', 'Element Control', 'Energy Beams', 'Energy Blasts', 'Energy Constructs', 'Energy Embodiment', 'Energy Manipulation', 'Energy Resistance', 'Fire Control', 'Flight', 'Godly Physiology', 'Gravity Control', 'Higher Dimensional Manipulation', 'Hope Inducement', 'Immortality', 'Indomitable Will', 'Intelligence', 'Large Size', 'Laser Manipulation', 'Life Manipulation', 'Light Control', 'Longevity', 'Magic', 'Magic Absorption', 'Magic Resistance', 'Master Tactician', 'Mathematics Manipulation', 'Matter Absorption', 'Memory Manipulation', 'Metaphysics Manipulation', 'Mind Blast', 'Mind Control', 'Mind Control Resistance', 'Mind Transfer', 'Nigh-Omnipotence', 'Non-Corporeal', 'Non-Physical Interaction', 'Omega Effect', 'Omega Sanction', 'Omni-Sense', 'Omnifabrication', 'Omnikinesis', 'Omnilock', 'Omnimimicry', 'Omnipresence', 'Omniscience', 'Origin Manipulation', 'Physics Manipulation', 'Pocket Dimensions', 'Portal Creation', 'Possession', 'Possession Resistance', 'Power Absorption', 'Precognition', 'Preparation', 'Radiation Control', 'Reality Warping', 'Reality Warping Resistance', 'Regeneration', 'Regeneration Negation', 'Resurrection', 'Sealing', 'Separation', 'Shadow Manipulation', 'Shapeshifting', 'Social Influencing', 'Soul Manipulation', 'Soul Resistance', 'Spaceflight', 'Spirit Control', 'Time Manipulation', 'Time Manipulation Resistance', 'Toxin and Disease Control', 'Vortex Creation', 'Water Control', 'Weather Control', 'Willpower Inducement', 'Willpower Manipulation', 'Wind Control', 'Time Travel']",,,,,Bad,Male,-,-,,
7,Darkseid (Avatar Of Nekron),/darkseid-avatar-of-nekron/10-20687/,Uxas,100,100,100,100,100,100,"['Accelerated Healing', 'Acid Resistants', 'Adaptation', 'Age Manipulation', 'Agility', 'Animal Control', 'Animation', 'Anti-Gravity', 'Antimatter Manipulation', 'Astral Projection', 'Attack Negation', 'Attack Reflection', 'Banish', 'Berserk Mode', 'Blood Manipulation', 'Bloodlust', 'Bone Manipulation', 'Causality Manipulation', 'Causality Resistance', 'Clairvoyance', 'Clairvoyance Resistance', 'Cold Resistance', 'Conceptual Manipulation', 'Corruption', 'Corruption Resistance', 'Cosmic Awareness', 'Creation', 'Curse Manipulation', 'Curse Resistance', 'Damage Boost', 'Damage Reduction', 'Damage Transferal', 'Danger Sense', 'Dark Matter Manipulation', 'Darkforce Manipulation', 'Death Manipulation', 'Death Touch', 'Dexterity', 'Dimensional Travel', 'Disguise Resistance', 'Divinity', 'Dream Manipulation', 'Durability Negation', 'Electricity Absorption', 'Electricity Resistance', 'Empathy', 'Endurance', 'Energy Absorption', 'Energy Beams', 'Energy Blasts', 'Energy Constructs', 'Energy Manipulation', 'Energy Resistance', 'Enhanced Hearing', 'Enhanced Memory', 'Enhanced Sight', 'Enhanced Smell', 'Enhanced Touch', 'Existence Erasure', 'Existence Erasure Resistance', 'Explosion Manipulation', 'Extrasensory Perception', 'Fear Inducement', 'Fear Manipulation', 'Fire Control', 'Fire Resistance', 'Flight', 'Force Fields', 'Godly Physiology', 'Heat Generation', 'Heat Resistance', 'Higher Dimensional Manipulation', 'Homing Attack', 'Illumination', 'Illusion Resistance', 'Illusions', 'Immortality', 'Immortality Negation', 'Information Analysis', 'Intangibility', 'Intelligence', 'Interstellar Travel', 'Invulnerability', 'Jump', 'Lantern Power Ring', 'Large Size', 'Levitation', 'Longevity', 'Magic Absorption', 'Marksmanship', 'Master Martial Artist', 'Master Tactician', 'Matter Absorption', 'Matter Manipulation', 'Mind Blast', 'Mind Control', 'Mind Control Resistance', 'Mind Transfer', 'Omega Effect', 'Omega Sanction', 'Omnilingualism', 'Pain Manipulation', 'Pain Suppression', 'Petrification', 'Pocket Dimensions', 'Portal Creation', 'Possession', 'Power Absorption', 'Power Absorption Immunity', 'Power Augmentation', 'Power Bestowal', 'Power Mimicry', 'Power Mimicry Immunity', 'Power Nullifier', 'Power Sense', 'Precognition', 'Preparation', 'Projection', 'Psionic Powers', 'Radiation Absorption', 'Radiation Immunity', 'Rage Power', 'Reality Warping', 'Reality Warping Resistance', 'Reflexes', 'Regeneration', 'Regeneration Negation', 'Sealing', 'Self-Sustenance', 'Size Changing', 'Soul Manipulation', 'Soul Resistance', 'Space Survivability', 'Spaceflight', 'Stamina', 'Subjective Reality', 'Summoning', 'Telekinesis', 'Telepathy', 'Telepathy Resistance', 'Teleportation', 'Time Manipulation', 'Time Manipulation Resistance', 'Toxin and Disease Resistance', 'Underwater breathing', 'Vaporising Beams', 'Vehicular Mastery', 'Vision - Microscopic', 'Vision - Night', 'Vision - Telescopic', 'Weapons Master', 'Weather Control', 'Willpower Inducement', 'Willpower Manipulation', 'Accelerated Development', 'Afterimage Creation', 'Aura', 'Black Hole Manipulation', 'Dimensional Awareness', 'Entropy Projection', 'Hellfire Resistance', 'Indomitable Will', 'Invisibility', 'Magic', 'Magic Resistance', 'Molecular Combustion', 'Molecular Dissipation', 'Molecular Immobilization', 'Molecular Manipulation', 'Molecular Oscillation', 'Physics Manipulation', 'Possession Resistance', 'Power Modification', 'Pressure Points', 'Sleep Manipulation', 'Smoke Manipulation', 'Spatial Awareness', 'Spatial Manipulation', 'Stealth', 'Time Travel', 'Vitakinesis']",DM - Dark Multiverse,,Apokolips,,Bad,Male,"266 cm • 8'8.7""","823 kg • 1,814.4 lbs",Red,No Hair
8,Darkseid (Death Metal),/darkseid-death-metal/10-23593/,Uxas,100,100,100,100,100,100,"['Nigh-Omnipotence', 'Nigh-Omnipresence', 'Nigh-Omniscience']",DM - Dark Multiverse,,,,Bad,Male,-,-,Red,White
9,Darkseid (Equation),/darkseid-equation/10-20355/,Dan Turpin,95,95,80,85,90,100,"['Accelerated Development', 'Accelerated Healing', 'Afterimage Creation', 'Age Manipulation', 'Agility', 'Animal Control', 'Animated Shadow', 'Antimatter Manipulation', 'Attack Reflection', 'Audio Control', 'Aura', 'Awakened Power', 'Banish', 'Black Hole Manipulation', 'Bloodlust', 'Body Puppetry', 'Chaos Energy', 'Cloning', 'Cold Resistance', 'Corruption', 'Corruption Resistance', 'Cosmic Awareness', 'Creation', 'Curse Manipulation', 'Curse Resistance', 'Damage Reduction', 'Danger Sense', 'Data Manipulation', 'Death Manipulation', 'Death Touch', 'Decay Embodiment', 'Deconstruction', 'Density Control', 'Dimension Storage', 'Dimensional Awareness', 'Dimensional Travel', 'Disguise Mastery', 'Divine Powers', 'Divinity', 'Dream Manipulation', 'Duplication', 'Durability', 'Element Control', 'Energy Absorption', 'Energy Armor', 'Energy Beams', 'Energy Blasts', 'Energy Embodiment', 'Energy Manipulation', 'Enhanced Hearing', 'Enhanced Memory', 'Enhanced Sight', 'Enhanced Smell', 'Enhanced Touch', 'Entropy Projection', 'Existence Erasure', 'Fear Inducement', 'Fear Manipulation', 'Fire Control', 'Flight', 'Force Fields', 'Fusion', 'Godly Physiology', 'Gravity Control', 'Grim Reaping', 'Hacking', 'Higher Dimensional Manipulation', 'Hope Inducement', 'Illumination', 'Illusion Resistance', 'Illusions', 'Immortality', 'Immortality Negation', 'Indomitable Will', 'Insanity', 'Intelligence', 'Interstellar Travel', 'Invisibility', 'Invulnerability', 'Jump', 'Large Size', 'Law Manipulation', 'Levitation', 'Life Manipulation', 'Light Control', 'Longevity', 'Madness Manipulation', 'Magic Absorption', 'Magic Resistance', 'Magnetism', 'Marksmanship', 'Master Martial Artist', 'Master Tactician', 'Mathematics Manipulation', 'Matter Absorption', 'Matter Manipulation', 'Memory Manipulation', 'Metaphysics Manipulation', 'Mind Blast', 'Mind Control', 'Mind Control Resistance', 'Mind Transfer', 'Molecular Manipulation', 'Nanotechnology', 'Non-Physical Interaction', 'Nothingness Aspect Manifestation', 'Omega Effect', 'Omega Sanction', 'Omni-Sense', 'Organic Manipulation', 'Origin Manipulation', 'Pain Manipulation', 'Peak Human Condition', 'Perfect Recollection', 'Physical Anomaly', 'Physics Manipulation', 'Plant Control', 'Pocket Dimensions', 'Possession', 'Possession Resistance', 'Power Absorption', 'Power Augmentation', 'Power Bestowal', 'Power Modification', 'Power Sense', 'Power Suit', 'Preparation', 'Probability Manipulation', 'Psionic Powers', 'Radiation Absorption', 'Radiation Control', 'Rage Inducement', 'Rage Power', 'Reality Warping', 'Reality Warping Resistance', 'Reflexes', 'Regeneration', 'Resurrection', 'Salvation', 'Sealing', 'Self-Destruction', 'Separation', 'Shadow Manipulation', 'Size Changing', 'Social Influencing', 'Sonic Scream', 'Soul Manipulation', 'Soul Resistance', 'Sound Manipulation', 'Spaceflight', 'Stamina', 'Subjective Reality', 'Super Breath', 'Super Speed', 'Super Strength', 'Technological Possession', 'Telekinesis', 'Telepathy', 'Telepathy Resistance', 'Teleportation', 'Time Manipulation', 'Time Manipulation Resistance', 'Time Travel', 'Toxin and Disease Control', 'Toxin and Disease Resistance', 'Transformation', 'Underwater breathing', 'Vaporising Beams', 'Vision - Heat', 'Vision - Infrared', 'Vision - Microscopic', 'Vision - Night', 'Vision - Telescopic', 'Vision - Thermal', 'Vision - X-Ray', 'Void Manipulation', 'Vortex Creation', 'Water Control', 'Weapon Creation', 'Weapon Summoning', 'Weapons Master', 'Weather Control', 'Will Of God', 'Willpower Inducement', 'Willpower Manipulation', 'Wind Control', 'Wishing', 'Zombie Physiology', 'Astral Projection', 'Astral Trap', 'Astral Travel', 'Avatar Creation', 'Bullet Time']",,,,,Bad,Male,-,-,-,-
