,name,href,identity,intelligence,strength,speed,durability,power,combat,powers,universe,full name,place of birth,first appearance,alignment,gender,height,weight,eye color,hair color
0,Julia Chang,/julia-chang/10-21948/,,60,8,25,15,15,90,"['Endurance', 'Master Martial Artist', 'Peak Human Condition', 'Reflexes', 'Stamina', 'Stealth', 'Acrobatics', 'Agility', 'Jump', 'Longevity', 'Master Tactician', 'Social Influencing', 'Weapons Master']",Tekken - Tekken,,,Tekken 3,Good,Female,"165 cm • 5'5""",54 kg • 119.05 lbs,Brown,Brown
1,Julia Copland,/julia-copland/10-48760/,,0,0,0,0,0,0,,Dead Space,,,,,,-,-,,
2,Julia Gengrich,/julia-gengrich/10-22727/,,0,0,0,0,0,0,,,,,,,,-,-,,
3,Julia Hoffman,/julia-hoffman/10-36278/,,0,0,0,0,0,0,,Dark Shadows - Dark Shadows,,,,,,-,-,,
4,Julia Laforeze,/julia-laforeze/10-33795/,,0,0,0,0,0,0,,Castlevania - Castlevania,,,,,,-,-,,
5,Julia Maddon,/julia-maddon/10-37651/,,0,0,0,0,0,0,,NFS - Need For Speed,,,,,,-,-,,
6,Julia Munberk,/julia-munberk/10-42190/,,0,0,0,0,0,0,,Freezing - Freezing,,,,,,-,-,,
7,Julia Wicker,/julia-wicker/10-12523/,Julia Wicker,0,0,0,0,0,0,,,,,,,,-,-,,
8,Julian Luthor,/julian-luthor/10-22197/,Julian Luthor,85,1,5,5,5,5,"['Social Influencing', 'Cloning']",Smallville - Smallville (2001-2011 TV Series),,,,,,-,-,,
9,Julian Sark,/julian-sark/10-38265/,Julian Sark,65,1,6,10,5,70,"['Intelligence', 'Peak Human Condition', 'Stamina', 'Marksmanship', 'Master Tactician', 'Weapons Master', 'Endurance', 'Information Analysis', 'Master Martial Artist']",Alias - Alias,Julian Sark,,ALIAS: The Coup (S1E14),Bad,Male,-,-,Blue,Blond
10,Juliana Lloyd,/juliana-lloyd/10-31831/,,0,0,0,0,0,0,,Devils' Line,,,,,,-,-,,
11,Julianos,/julianos/10-36418/,Julianos,100,100,100,100,100,100,"['Nigh-Omnipotence', 'Nigh-Omniscience', 'Omnipresence']",TES - The Elder Scrolls Verse,,,,,,-,-,,
12,Julie,/julie/10-24455/,Julie Makimoto,0,0,0,0,0,0,,Bakugan,,,bakugan battle brawlers episode 1,Good,Female,-,-,Blue,White
13,Julie Kenzie Jekyll,/julie-kenzie-jekyll/10-24562/,,0,0,0,0,0,0,,,,,,,,-,-,,
14,Julie Rogers,/julie-rogers/10-32837/,Julie Rogers,0,0,0,0,0,0,,Charlie's Angels,Julie Rogers,,Charlie's Angels (1976) S5E1: Angel in Hiding,Good,Female,-,-,Blue,Black
15,Julie Sigtuna,/julie-sigtuna/10-40519/,Julie Sigtuna,0,0,0,0,0,0,,Absolute Duo - Absolute Duo,,,,,,-,-,,
16,Julie Yamamoto,/julie-yamamoto/10-46494/,,65,25,25,20,20,50,"['Durability', 'Intelligence', 'Super Speed', 'Super Strength', 'Agility', 'Cold Resistance', 'Corruption Resistance', 'Dexterity', 'Electrokinesis', 'Energy Beams', 'Energy Blasts', 'Fire Resistance', 'Flight', 'Gadget Usage', 'Information Analysis', 'Marksmanship', 'Mind Control Resistance', 'Power Suit', 'Scanning', 'Symbiote Costume', 'Telepathy Resistance', 'Weapon-based Powers', 'Danmaku', 'Homing Attack']",Ben 10,,,,Good,Female,-,-,Black,Black
17,Juliet Watson,/juliet-watson/10-32935/,,0,0,0,0,0,0,,Life Is Strange,,,,,,-,-,,
18,Julieta Madrigal,/julieta-madrigal/10-43870/,Julieta Madrigal,0,0,0,0,0,0,,,,,,,,-,-,,
19,Juliette Silverton,/juliette-silverton/10-27142/,,0,0,0,0,0,0,,Grimm Universe - Grimm 2011-2017,,,,,,-,-,,
20,Julius Belmont,/julius-belmont/10-33796/,,80,100,100,100,100,100,"['Acid Resistants', 'Acrobatics', 'Agility', 'Cold Resistance', 'Curse Resistance', 'Deconstruction', 'Dexterity', 'Endurance', 'Energy Resistance', 'Enhanced Hearing', 'Enhanced Memory', 'Enhanced Sight', 'Enhanced Touch', 'Fire Control', 'Fire Resistance', 'Force Fields', 'Heat Generation', 'Heat Resistance', 'Holy Manipulation', 'Holy Resistance', 'Immortality', 'Jump', 'Longevity', 'Magic', 'Master Martial Artist', 'Master Tactician', 'Quantum Manipulation', 'Radiation Immunity', 'Reflexes', 'Resurrection', 'Soul Manipulation', 'Stamina', 'Swordsmanship', 'Toxin and Disease Resistance', 'Weapons Master', 'Accelerated Healing', 'Causality Resistance', 'Clairvoyance Resistance', 'Corruption Resistance', 'Dimensional Travel', 'Disguise Resistance', 'Electricity Resistance', 'Extrasensory Perception', 'Hellfire Resistance', 'Illusion Resistance', 'Intangibility', 'Life Manipulation', 'Magic Resistance', 'Mind Control Resistance', 'Possession Resistance', 'Power Nullifier', 'Regeneration', 'Regeneration Negation', 'Soul Resistance', 'Spatial Manipulation', 'Telekinesis', 'Telepathy Resistance', 'Time Manipulation']",Castlevania - Castlevania,,,Castlevania: Aria of Sorrow,Good,Male,-,-,Brown,Brown
21,Julius Caesar,/julius-caesar/10-31531/,,65,5,11,10,10,70,"['Berserk Mode', 'Bloodlust', 'Dexterity', 'Disguise Mastery', 'Master Tactician', 'Reflexes', 'Stamina', 'Swordsmanship', 'Weapons Master', 'Agility', 'Endurance', 'Longevity', 'Master Martial Artist']",Spartacus - Spartacus Series,,,,,,-,-,,
22,Julius Furst,/julius-furst/10-25079/,,0,0,0,0,0,0,,,,,,,,-,-,,
23,Julius Kane,/julius-kane/10-16083/,Julius Kane,0,0,0,0,0,0,,,,,,,,-,-,,
24,Julius Novachrono,/julius-novachrono/10-31437/,Julius Novachrono,95,25,75,30,95,70,"['Acausality', 'Accelerated Healing', 'Afterimage Creation', 'Age Manipulation', 'Arcane Magic', 'Aura', 'Bullet Time', 'Disguise Mastery', 'Energy Constructs', 'Intelligence', 'Life Manipulation', 'Longevity', 'Magic', 'Magic Absorption', 'Master Tactician', 'Molecular Immobilization', 'Nigh-Omniscience', 'Pataphysics Manipulation', 'Perfect Recollection', 'Postcognition', 'Power Sense', 'Precognition', 'Preparation', 'Shapeshifting', 'Soul Manipulation', 'Stamina', 'Super Speed', 'Super Strength', 'Time Manipulation', 'Time Manipulation Resistance', 'Time Travel', 'Vitakinesis', 'Damage Reduction', 'Dimensional Awareness', 'Enhanced Condition', 'Flight', 'Immortality', 'Information Analysis', 'Intuitive aptitude', 'Levitation', 'Metaphysics Manipulation', 'Origin Manipulation', 'Photographic Reflexes', 'Regeneration', 'Resurrection', 'Causality Manipulation']",BC - Black Clover,,,,,,-,-,,
25,Julius Pitt,/julius-pitt/10-38122/,,0,0,0,0,0,0,,Black Butler - Black Butler,,,,,,-,-,,
26,Julius Reichwein,/julius-reichwein/10-34597/,,0,0,0,0,0,0,,Monster,,,,,,-,-,,
27,Julius Reinhold,/julius-reinhold/10-49908/,,0,0,0,0,0,0,,Kenganverse - Kengan Ashura,,,,,,-,-,,
28,Jumbo,/jumbo/10-38142/,,0,0,0,0,0,0,,Black Butler - Black Butler,,,,,,-,-,,
29,Jumpa,/jumpa/10-21173/,,0,0,0,0,0,0,,,,,,Good,-,-,-,-,-
30,Jumping Spider,/jumping-spider/10-30019/,,0,0,0,0,0,0,,OPM - One Punch Man,,,,,,-,-,,
31,Jumptrooper,/jumptrooper/10-33047/,,0,0,0,0,0,0,,Star Wars - Star Wars Universe,,,,,,-,-,,
32,Jumpy Ghostface,/jumpy-ghostface/10-22535/,,0,0,0,0,0,0,,,,,,,,-,-,,
33,Jun Fudo,/jun-fudo/10-37799/,,0,0,0,0,0,0,,Devilman Crybaby - Devilman,,,,,,-,-,,
34,Jun Hono,/jun-hono/10-37811/,,0,0,0,0,0,0,,Mazinger - Mazinger,,,,,,-,-,,
35,Jun Kazama,/jun-kazama/10-21947/,,0,0,0,0,0,0,,Tekken - Tekken,,,,,,-,-,,
36,Jun'ichir? Tanizaki,/junichir-tanizaki/10-42189/,,0,0,0,0,0,0,,BSD - Bungo Stray Dogs,,,,,,-,-,,
37,June,/june/10-31399/,June Del Toro,60,1,5,7,5,45,"['Acrobatics', 'Agility', 'Reflexes', 'Weapons Master']",LKOEU - Last Kids on Earth Universe,,,,,,-,-,,
38,June Havens,/june-havens/10-36781/,,0,0,0,0,0,0,,Knight&Day - Knight and Day,,,,,,-,-,,
39,June Robbins,/june-robbins/10-34282/,June Robbins,0,0,0,0,0,0,,Prime Earth - Prime DC Comics Universe,,,,,,-,-,,
