,name,href,identity,intelligence,strength,speed,durability,power,combat,powers,full name,place of birth,first appearance,alignment,universe,gender,height,weight,eye color,hair color
0,Redeemer III,/redeemer-iii/10-1092/,Eddie Frank,0,0,0,0,0,0,,Eddie Frank,,,Bad,,Male,-,-,,
1,Redroot The Forest,/redroot-the-forest/10-30927/,Redroot,50,1,1,30,80,40,"['Plant Control', 'Decay Embodiment']",,Amneth,X of Swords: Stasis #1 (2020),Neutral,Earth-616 - Prime Marvel Universe,Female,-,-,Yellow,Green
2,Redstone,/redstone/10-20084/,Michael Redstone,0,0,0,0,0,0,,,,,,Earth-712 - Earth-S,,-,-,,
3,Redstone,/redstone/10-40765/,Michael Redstone,0,0,0,0,0,0,,,,,,Earth-31916 - Supremeverse,,-,-,,
4,Redwing,/redwing/10-22283/,,0,0,0,0,0,0,,,,,,,,-,-,,
5,Ree-Yees,/ree-yees/10-29002/,,0,0,0,0,0,0,,,,,,Star Wars - Star Wars Universe,,-,-,,
6,Reed Richards,/reed-richards/10-33097/,,0,0,0,0,0,0,,,,,,Earth-8610 - Earth-8610,,-,-,,
7,Reed Richards,/reed-richards/10-47444/,Reed Richards,95,25,25,60,75,65,"['Agility', 'Density Control', 'Dexterity', 'Durability', 'Elasticity', 'Enhanced Memory', 'Indomitable Will', 'Information Analysis', 'Intelligence', 'Master Tactician', 'Peak Human Condition', 'Preparation', 'Stamina', 'Super Speed', 'Super Strength', 'Acrobatics', 'Adaptation', 'Cosmic Awareness', 'Danger Sense', 'Dimensional Awareness', 'Electricity Resistance', 'Endurance', 'Enhanced Condition', 'Enhanced Hearing', 'Enhanced Sight', 'Gadget Usage', 'Gliding', 'Grappling/Climbing', 'Heat Resistance', 'Invulnerability', 'Jump', 'Marksmanship', 'Master Martial Artist', 'Natural Armor', 'Pressure Points', 'Reflexes', 'Shapeshifting', 'Size Changing', 'Stealth', 'Super Breath', 'Supernatural Condition', 'Transformation', 'Vehicular Mastery', 'Weapons Master', 'Attack Reflection', 'Energy Resistance', 'Hypnokinesis', 'Omnilingualism', 'Wind Control']",,,"Incredible Hercules #125 (January, 2009)",Good,Earth-92124 - United States of Amazonia (Artume Ruled Reality),Male,-,-,Brown,Brown
8,Reeg Brosna,/reeg-brosna/10-43182/,,0,0,0,0,0,0,,,,,,Star Wars - Star Wars Universe,,-,-,,
9,Reelo Baruk,/reelo-baruk/10-33224/,,0,0,0,0,0,0,,,,,,SWL - Star Wars: Legends Multiverse,,-,-,,
10,Rees-Van,/rees-van/10-23670/,,0,0,0,0,0,0,,,,,,Prime Earth - Prime DC Comics Universe,,-,-,,
11,Reese,/reese/10-39406/,,0,0,0,0,0,0,,,,,,Fire Force - Fire Force Universe,,-,-,,
12,Reeva Payge,/reeva-payge/10-22553/,Reeva Payge,0,0,0,0,0,0,,,,,,,,-,-,,
13,Reeve,/reeve/10-31477/,,55,25,5,10,55,30,['Telekinesis'],,,,,The Hollow - The Hollow (TV series),,-,-,,
14,Refia,/refia/10-49683/,,0,0,0,0,0,0,,,,,,FF III - Final Fantasy III,,-,-,,
15,Reflux,/reflux/10-15486/,Gus Burns,0,0,0,0,0,0,,,,,,,,-,-,,
16,Reg,/reg/10-44850/,,0,0,0,0,0,0,,,,Manga: Made in Abyss - Chapter #2,Good,MiA - Made in Abyss Universe,Male,-,-,Yellow,Brown
17,Regan MacNeil (Possesed),/regan-macneil-possesed/10-41763/,Regan MacNeil,0,0,0,0,0,0,,,,,,,,-,-,,
18,Regenerador,/regenerador/10-27575/,,0,0,0,0,0,0,,,,,,Resident Evil - Resident Evil Game & Movie universe,,-,-,,
